cod_mun,nome_mun,date,value
3500105,ADAMANTINA,1999-01-01,131.61706457
3500105,ADAMANTINA,1999-02-01,129.41055862
3500105,ADAMANTINA,1999-03-01,143.21230049
3500105,ADAMANTINA,1999-04-01,123.59163903
3500105,ADAMANTINA,1999-05-01,100.86923124
3500105,ADAMANTINA,1999-06-01,80.337317427
3500105,ADAMANTINA,1999-07-01,98.714192325
3500105,ADAMANTINA,1999-08-01,137.17235859
3500105,ADAMANTINA,1999-09-01,146.12862255
3500105,ADAMANTINA,1999-10-01,162.28369436
3500105,ADAMANTINA,1999-11-01,152.03603684
3500105,ADAMANTINA,1999-12-01,148.81477262
3500105,ADAMANTINA,2000-01-01,149.68885435
3500105,ADAMANTINA,2000-02-01,124.30545814
3500105,ADAMANTINA,2000-03-01,121.37612636
3500105,ADAMANTINA,2000-04-01,125.06917168
3500105,ADAMANTINA,2000-05-01,96.691538048
3500105,ADAMANTINA,2000-06-01,89.785520413
3500105,ADAMANTINA,2000-07-01,93.625103811
3500105,ADAMANTINA,2000-08-01,112.85518769
3500105,ADAMANTINA,2000-09-01,124.81312321
3500105,ADAMANTINA,2000-10-01,169.09149575
3500105,ADAMANTINA,2000-11-01,156.31809373
3500105,ADAMANTINA,2000-12-01,145.90202466
3500105,ADAMANTINA,2001-01-01,153.66596909
3500105,ADAMANTINA,2001-02-01,126.07921215
3500105,ADAMANTINA,2001-03-01,142.39297396
3500105,ADAMANTINA,2001-04-01,123.21178376
3500105,ADAMANTINA,2001-05-01,85.729203634
3500105,ADAMANTINA,2001-06-01,70.451787651
3500105,ADAMANTINA,2001-07-01,93.320733515
3500105,ADAMANTINA,2001-08-01,133.3327752
3500105,ADAMANTINA,2001-09-01,143.98544965
3500105,ADAMANTINA,2001-10-01,143.96371912
3500105,ADAMANTINA,2001-11-01,139.17456902
3500105,ADAMANTINA,2001-12-01,142.19968667
3500105,ADAMANTINA,2002-01-01,146.77596342
3500105,ADAMANTINA,2002-02-01,124.38837725
3500105,ADAMANTINA,2002-03-01,151.82244867
3500105,ADAMANTINA,2002-04-01,132.68257505
3500105,ADAMANTINA,2002-05-01,89.567214428
