cod_mun,nome_mun,date,value
3500105,ADAMANTINA,1999-01-01,52.391897188
3500105,ADAMANTINA,1999-02-01,65.514890181
3500105,ADAMANTINA,1999-03-01,62.214621852
3500105,ADAMANTINA,1999-04-01,52.053182545
3500105,ADAMANTINA,1999-05-01,54.085470406
3500105,ADAMANTINA,1999-06-01,56.366295636
3500105,ADAMANTINA,1999-07-01,52.759204627
3500105,ADAMANTINA,1999-08-01,31.987639082
3500105,ADAMANTINA,1999-09-01,33.583336965
3500105,ADAMANTINA,1999-10-01,41.805964854
3500105,ADAMANTINA,1999-11-01,39.061056574
3500105,ADAMANTINA,1999-12-01,43.964720845
3500105,ADAMANTINA,2000-01-01,50.783002632
3500105,ADAMANTINA,2000-02-01,67.162275038
3500105,ADAMANTINA,2000-03-01,67.317335963
3500105,ADAMANTINA,2000-04-01,53.563102044
3500105,ADAMANTINA,2000-05-01,52.397395803
3500105,ADAMANTINA,2000-06-01,45.883737251
3500105,ADAMANTINA,2000-07-01,45.959618129
3500105,ADAMANTINA,2000-08-01,39.426164566
3500105,ADAMANTINA,2000-09-01,43.367571328
3500105,ADAMANTINA,2000-10-01,40.676549468
3500105,ADAMANTINA,2000-11-01,46.909778688
3500105,ADAMANTINA,2000-12-01,52.052082822
3500105,ADAMANTINA,2001-01-01,56.08036769
3500105,ADAMANTINA,2001-02-01,64.157832161
3500105,ADAMANTINA,2001-03-01,55.820833093
3500105,ADAMANTINA,2001-04-01,52.39629608
3500105,ADAMANTINA,2001-05-01,57.469317673
3500105,ADAMANTINA,2001-06-01,58.201733104
3500105,ADAMANTINA,2001-07-01,52.751506567
3500105,ADAMANTINA,2001-08-01,40.044208819
3500105,ADAMANTINA,2001-09-01,42.079795849
3500105,ADAMANTINA,2001-10-01,40.362028728
3500105,ADAMANTINA,2001-11-01,53.456428925
3500105,ADAMANTINA,2001-12-01,46.456692866
3500105,ADAMANTINA,2002-01-01,49.727268678
3500105,ADAMANTINA,2002-02-01,57.825627883
