CD_MUN,NM_MUN,DS_POP_00,DS_POP_01,DS_POP_02,DS_POP_03,DS_POP_04,DS_POP_05,DS_POP_06,DS_POP_07,DS_POP_08,DS_POP_09,DS_POP_10,DS_POP_11,DS_POP_12,DS_POP_13,DS_POP_14,DS_POP_15,DS_POP_16,DS_POP_17,DS_POP_18,DS_POP_19,DS_POP_20,DS_POP_21,DS_POP_22,DS_POP_23
3500105,Adamantina,"81,32906014","81,42670411","81,79947715","82,13109992","83,11997474","83,50863556","83,89243812","80,86331285","83,479486","83,62037554","82,03423632","82,09006338","82,14589045","84,84015333","84,95666199","85,07074339","85,18239753","85,2916244","85,01006179","85,11928867","85,22366101","85,3256061","83,39350407","84,19450114"
3500204,Adolfo,"17,4746229","17,66155012","17,86526435","18,05476597","18,50092623","18,72417233","18,94741842","17,14245001","17,62694153","17,62219161","16,85341279","16,80603181","16,76338893","17,24193678","17,204032","17,16612722","17,13296054","17,09979386","16,91974615","16,87710327","16,83919849","16,79655562","20,55860503","20,6154622"
3500303,False,"59,57487269","60,71933937","61,69507276","62,69192591","64,72946738","65,88587828","67,03384823","63,68911961","67,02751751","67,74077826","67,74367533","68,38217022","69,00169991","72,04245279","72,76313019","73,46484239","74,15180388","74,82401467","75,76384543","76,50348802","77,22627266","77,92798487","66,50672319","67,5835248"
3500402,False,"49,97196917","49,80802792","50,42233857","50,72251309","51,39742873","51,74678591","52,08915595","51,47428731","53,68921185","54,03856903","53,15656029","53,4018767","53,64018406","55,66579665","55,96017634","56,24754698","56,52790859","56,80126115","57,03255948","57,3339482","57,62131885","57,90868949","49,58895887","51,64961666"
3500501,False,"270,1935915","278,4535911","284,6025662","291,4680887","304,7658724","312,7145476","320,6132311","264,4059323","272,2046326","272,3046159","287,1647723","288,6117395","290,025443","301,1687534","302,8984613","304,5782738","306,2248226","307,8381079","309,3349705","311,097942","312,811018","314,4741987","313,6592402","298,2082919"
3500550,False,"12,78605869","13,20060805","13,49482666","13,81356348","14,43019421","14,7990717","15,16550629","13,0939294","13,6313668","13,70953951","13,84799864","13,91969868","13,98892631","14,52791287","14,61444741","14,69603712","14,77762683","14,85674412","14,933389","15,01992354","15,10398566","15,18557537","17,59865279","17,7445253"
3500600,False,"518,7327824","600,9677419",620,"625,8064516","592,2155689","598,8023952","604,7904192","700,5988024","762,5748503","782,3353293","749,4126327","766,8537098","784,0179445","831,6348535","850,7369857","869,0085903","887,2801949","904,7212721","935,7276315","955,3834486","974,7624232","993,3108704","857,3812055","769,6221348"
3500709,Agudos,"33,57345874","33,8957801","34,10682695","34,33959922","34,88709494","35,15756967","35,42597179","35,46327865","37,17421267","37,50168399","35,71295652","35,87536337","36,03259803","37,3949536","37,59046249","37,78183362","37,96803256","38,15009375","38,29801846","38,49559622","38,68903623","38,87626961","38,81730661","38,97764459"
3500758,Alambari,"22,93866264","23,35660817","23,41951312","23,63968044","24,12424395","24,37626008","24,62197581","25,64264113","27,24924395","27,66507056","30,60143296","31,19666967","31,77310944","33,5588196","34,21044716","34,83701213","35,4510458","36,05254816","37,08011471","37,75053922","38,40216679","39,04126305","38,13274385","38,47735458"
3500808,Alfredo Marcondes,"30,96055607","31,25052632","31,49473684","31,66315789","32,21487883","32,40976106","32,60464328","32,6300627","34,10438909","34,35858329","32,72077263","32,84691285","32,97305306","34,17558981","34,33536742","34,48673568","34,6296946","34,77265351","34,87356569","35,0333433","35,18471156","35,32767047","37,48887288","37,37955136"
