CD_MUN,MUN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
3500105,Adamantina,7.560199407,7.540656769,7.299219302,8.209255242,8.647131824,10.0956709,13.23356259,17.53588765,18.36735831,18.76275976,23.87178953,17.64417387,16.43635826,15.81083161,15.31519409,13.26100847,11.69737676,13.56653238,12.2335118,12.5873817,10.04486459,10.5678097,,
3500204,Adolfo,10.36472604,12.97620823,6.31233169,6.375664766,7.998638033,8.0505457,11.66864268,17.5274341,19.19716075,19.78476394,21.67043496,16.83023479,11.24713751,13.69151098,13.1478744,8.928037614,10.62949402,12.80707251,10.33009841,11.70354786,10.91142684,8.828371516,,
3500303,Aguaí,9.593936191,10.06895639,7.196689069,7.731063883,10.99437484,10.91568112,14.85143146,22.69732076,20.05969209,16.50218039,21.55199556,15.43027843,12.97880005,13.09830665,13.85393262,8.434384526,10.66175738,12.32596293,10.82291834,10.68445111,8.847445187,9.634137088,,
3500402,Águas da Prata,10.00393827,7.158728083,4.2465478,4.204862151,4.902381695,4.686760841,6.178055543,8.758320927,9.484622745,11.55913763,16.14893926,10.22559134,9.887935672,9.505553062,10.22764998,7.492686767,7.096853405,8.737097678,8.199521115,7.811629824,6.450048648,6.855226574,,
3500501,Águas de Lindóia,6.233296368,5.582043911,5.792575166,5.706654734,5.959704706,6.744406118,8.496167966,11.88215229,13.10677471,13.54585503,17.09086204,13.45851445,11.98679319,13.16427772,12.71398057,11.26915856,10.01862662,11.77258754,10.55038487,10.51414954,7.423516557,8.392877854,,
3500550,Águas de Santa Bárbara,6.804319998,7.377148133,7.037941099,6.369966441,7.267513411,7.342038984,9.664190269,13.31215953,14.1351551,21.10788502,29.82492883,21.56993105,12.637096,13.1607271,13.33342155,8.935568071,10.69260905,11.47030588,11.0508224,10.65002762,9.304348433,9.587239647,,
3500600,Águas de São Pedro,17.23634681,14.18070289,17.18976368,16.64331858,18.68902812,21.10736056,24.30599084,24.86010575,26.31116683,26.51081298,32.39000928,22.49929301,21.62657381,21.83683083,24.21332555,17.51902582,15.68632478,18.61337829,16.08748053,15.68074824,10.98757738,11.16699727,,
3500709,Agudos,13.23204237,10.85260945,13.38044635,15.42030106,15.52994598,20.32892576,26.46655331,32.55145427,31.97198299,36.1309794,63.47409217,43.85730994,41.41174994,35.62151172,36.01716342,31.78490275,22.05832504,25.42253386,23.79581806,21.37842992,17.5037243,19.02610171,,
3500758,Alambari,5.533109786,6.665411736,5.106454645,5.8853582,7.107007418,8.463096802,9.944314242,13.42949387,13.29611057,14.34088684,15.91645363,10.76088854,8.924471467,8.901771407,8.112892036,6.681455502,6.814169939,8.186809311,6.65791202,6.482495645,5.612092122,5.627221436,,
3500808,Alfredo Marcondes,5.32506623,4.633678498,3.498354445,3.867775343,4.390940806,4.955559206,6.133286358,7.468407573,9.000121128,9.43732479,11.9051803,8.710473946,10.16615924,10.95888165,11.20782946,7.671293773,7.926861963,8.956473787,8.015046213,7.740922524,7.532132097,7.763607737,,
3500907,Altair,13.0344825,19.02701265,10.05340412,10.29703945,11.04370721,12.43133122,16.24312608,24.36957179,21.60238381,25.02006853,24.79197359,19.73106398,17.95470634,16.34660263,15.0740474,9.264854442,20.87927573,23.65580893,10.33301503,8.078816701,7.570200279,7.225167878,,
3501004,Altinópolis,9.338842525,7.84159714,7.653518707,6.05551418,7.722106047,10.24581143,13.83667009,17.50430948,19.20653609,15.14049081,20.64972511,14.73898054,13.43292446,14.11537646,15.07092265,10.3423769,11.85852598,14.82466675,12.30255036,12.28299196,11.45171713,13.92279238,,
3501103,Alto Alegre,5.466511677,4.522192353,7.61480463,8.008201309,9.458707229,9.279986129,14.16107307,16.3682142,16.2219194,19.07792685,18.16163911,14.30068081,14.70139715,11.81176237,13.5992681,8.294970128,10.13741291,12.26304064,10.33635973,10.98686193,8.097160321,7.547891973,,
3501152,Alumínio,31.84976242,39.66887827,31.49912778,37.63967245,57.90539178,65.42498905,88.20210468,115.179926,112.4230047,102.3422663,117.400481,88.52666492,72.69398384,58.40462356,52.98690038,43.84969628,43.04933286,46.47777155,45.55979565,45.88567638,34.55953427,57.08961622,,
3501202,Álvares Florence,5.660881471,5.542058597,7.397558518,8.881774506,13.52697464,17.75921667,14.42658375,18.42388669,22.41784464,26.22311218,30.08867175,21.65824387,21.8168133,16.90357572,13.84440926,10.01896657,10.34399976,12.753851,12.89874409,10.19782702,8.723990854,9.319084706,,
3501301,Álvares Machado,4.888278755,4.074475022,4.089358255,4.25504417,4.683911053,5.309077968,6.714632191,8.97597983,9.995009509,9.650291461,12.70498084,10.08395741,9.938797846,9.958921219,10.11995461,7.475572091,8.054097379,9.649370136,8.553167692,8.150135463,7.020254711,7.670823645,,
3501400,Álvaro de Carvalho,4.544115914,3.52620349,2.872211248,2.626275873,3.066623516,3.681112206,4.433190877,5.907444484,6.776263672,6.374972189,8.177570742,7.587169416,5.948772516,5.003535713,4.949011186,4.117023135,3.988579392,4.552096616,3.850515997,3.590804256,2.873012033,2.98426906,,
3501509,Alvinlândia,5.558953619,4.110674096,3.518376235,3.643276398,4.508593044,5.345762155,6.539405358,11.78222701,9.192073355,9.400324834,13.14825125,8.588609584,8.548098862,8.463296884,8.113917055,5.874143059,5.999903486,9.236935541,6.474845415,5.826874436,5.042620484,4.868391244,,
3501608,Americana,18.64874951,15.68740729,14.37101431,16.40738121,19.19926471,20.18799277,23.99088073,31.62446167,35.04178931,33.39801095,43.35489531,35.34330977,30.4868991,30.43266614,28.20574513,18.91065086,18.87290299,21.51189835,19.13511521,18.34601692,14.00874199,16.87491396,,
