MUN,CD_MUN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adamantina,3500105,33514,33497,33639,33793,33930,34218,34378,34536,33289,34366,34424,33797,33820,33843,34953,35001,35048,35094,35139,35023,35068,35111,35153,34357
Adolfo,3500204,3437,3684,3728,3771,3811,3895,3942,3989,3609,3711,3710,3557,3547,3538,3639,3631,3623,3616,3609,3571,3562,3554,3545,4339
Aguaí,3500303,29217,28195,28750,29212,29684,30674,31222,31766,30181,31763,32101,32148,32451,32745,34188,34530,34863,35189,35508,35954,36305,36648,36981,31561
Águas da Prata,3500402,7531,7131,7135,7223,7266,7356,7406,7455,7367,7684,7734,7584,7619,7653,7942,7984,8025,8065,8104,8137,8180,8221,8262,7075
Águas de Lindóia,3500501,15076,16190,16710,17079,17491,18289,18766,19240,15867,16335,16341,17266,17353,17438,18108,18212,18313,18412,18509,18599,18705,18808,18908,18859
Águas de Santa Bárbara,3500550,4546,5224,5384,5504,5634,5907,6058,6208,5360,5580,5612,5601,5630,5658,5876,5911,5944,5977,6009,6040,6075,6109,6142,7118
Águas de São Pedro,3500600,1755,1883,1863,1922,1940,1978,2000,2020,2340,2547,2613,2707,2770,2832,3004,3073,3139,3205,3268,3380,3451,3521,3588,3097
Agudos,3500709,32026,32484,32764,32968,33193,33665,33926,34185,34221,35872,36188,34524,34681,34833,36150,36339,36524,36704,36880,37023,37214,37401,37582,37525
Alambari,3500758,3515,3650,3713,3723,3758,3829,3869,3908,4070,4325,4391,4884,4979,5071,5356,5460,5560,5658,5754,5918,6025,6129,6231,6086
Alfredo Marcondes,3500808,3704,3697,3711,3740,3760,3802,3825,3848,3851,4025,4055,3891,3906,3921,4064,4083,4101,4118,4135,4147,4166,4184,4201,4458
Altair,3500907,3694,3530,3572,3591,3620,3679,3712,3745,3272,3312,3287,3815,3837,3859,4010,4035,4060,4085,4109,4134,4160,4186,4211,3383
Altinópolis,3501004,14199,15481,15701,15868,16048,16425,16633,16840,15139,15560,15554,15607,15617,15627,16137,16159,16179,16199,16219,16164,16184,16203,16221,16845
Alto Alegre,3501103,4184,4261,4198,4150,4099,3991,3931,3872,4157,4270,4267,4102,4090,4078,4193,4183,4173,4164,4154,4110,4099,4088,4078,3837
Alumínio,3501152,12832,15252,15432,15567,15713,16019,16189,16357,15678,16331,16427,16839,16961,17079,17784,17924,18061,18194,18324,18484,18628,18767,18903,17170
Álvares Florence,3501202,4402,4316,4227,4162,4090,3939,3856,3773,3902,3920,3876,3897,3865,3834,3915,3883,3853,3824,3795,3712,3679,3647,3616,3881
Álvares Machado,3501301,23858,22661,23141,23460,23830,24609,25039,25467,22859,23694,23779,23513,23578,23642,24482,24568,24651,24733,24813,24830,24915,24998,25078,27361
Álvaro de Carvalho,3501400,2963,4109,4241,4314,4410,4610,4720,4830,4610,4907,4984,4650,4692,4732,4937,4984,5030,5075,5119,5179,5227,5274,5320,4716
Alvinlândia,3501509,2716,2837,2878,2899,2928,2989,3022,3056,2787,2868,2869,3000,3013,3025,3137,3153,3168,3182,3196,3206,3222,3237,3251,2893
Americana,3501608,177409,182593,185552,188643,191451,197345,200607,203845,199094,203283,205229,210638,212791,214873,224551,226970,229322,231621,233868,237112,239597,242018,244370,243674
Américo Brasiliense,3501707,26593,28287,29303,30017,30819,32504,33437,34362,31005,32819,33255,34478,34953,35413,37165,37691,38202,38701,39189,39962,40504,41032,41545,31996
Américo de Campos,3501806,5405,5594,5596,5595,5595,5596,5597,5597,5379,5503,5488,5706,5715,5723,5916,5930,5942,5955,5967,5956,5969,5981,5993,5790
Amparo,3501905,58374,60404,61431,62425,63364,65333,66423,67505,62692,65466,65928,65829,66245,66649,69322,69808,70280,70742,71193,71700,72195,72677,73145,69952
Analândia,3502002,3805,3582,3648,3700,3755,3870,3934,3997,4166,4471,4558,4293,4348,4401,4612,4672,4731,4789,4845,4933,4995,5056,5115,4577
Andradina,3502101,54824,55161,55499,55740,56009,56573,56885,57195,54753,56505,56593,55334,55347,55361,57145,57198,57250,57300,57350,57112,57157,57202,57245,59464
Angatuba,3502200,18315,19297,19557,19734,19937,20363,20599,20833,21523,22877,23225,22210,22434,22650,23666,23917,24161,24400,24634,24969,25228,25479,25724,23928
Anhembi,3502309,4611,4535,4660,4745,4842,5047,5160,5273,5271,5656,5766,5653,5739,5822,6120,6215,6307,6397,6484,6627,6724,6819,6911,5659
Anhumas,3502408,2994,3411,3424,3447,3463,3498,3517,3536,3695,3900,3947,3738,3763,3788,3941,3970,3999,4026,4053,4085,4115,4144,4172,4005
Aparecida,3502507,35102,34904,35029,35253,35414,35754,35942,36129,35903,37405,37629,35007,35015,35023,36151,36184,36217,36248,36279,36129,36157,36185,36211,32927
Aparecida d'Oeste,3502606,4701,4935,4909,4900,4884,4850,4832,4813,4577,4633,4598,4450,4413,4377,4468,4432,4397,4362,4329,4234,4196,4158,4122,4030
Apiaí,3502705,23508,27162,27209,27293,27353,27481,27551,27621,25463,25857,25700,25191,25040,24894,25491,25349,25211,25077,24945,24526,24374,24226,24081,24978
Araçariguama,3502754,10595,11154,11652,12044,12457,13324,13804,14280,12291,13027,13208,17080,17535,17975,19144,19636,20114,20581,21038,21854,22364,22860,23343,22673
Araçatuba,3502804,169303,169254,171289,172768,174399,177823,179717,181598,178839,181143,182204,181579,182525,183441,190536,191662,192757,193828,194874,195874,197016,198129,199210,213929
Araçoiaba da Serra,3502903,19064,19816,20408,20925,21440,22521,23119,23713,24022,26012,26626,27299,27873,28429,30088,30713,31321,31915,32495,33499,34146,34776,35389,32922
Aramina,3503000,4310,4763,4847,4910,4978,5122,5201,5280,5019,5262,5308,5152,5182,5211,5416,5451,5486,5519,5552,5585,5620,5655,5689,5419
Arandu,3503109,5244,6065,6117,6159,6202,6293,6344,6394,6013,6204,6212,6123,6127,6132,6334,6343,6351,6360,6368,6348,6357,6365,6373,6654
Arapeí,3503158,2386,2618,2653,2686,2718,2784,2821,2857,2527,2587,2582,2493,2483,2475,2541,2532,2524,2516,2509,2478,2469,2460,2452,2469
Araraquara,3503208,174381,182471,185064,187363,189634,194401,197039,199657,195815,199132,200666,208662,210672,212617,222036,224304,226508,228664,230770,233744,236072,238339,240542,250304
