CD_MUN,COD_SUS,MUN,2000/Jan,2000/Fev,2000/Mar,2000/Abr,2000/Mai,2000/Jun,2000/Jul,2000/Ago,2000/Set,2000/Out,2000/Nov,2000/Dez,2001/Jan,2001/Fev,2001/Mar,2001/Abr,2001/Mai,2001/Jun,2001/Jul,2001/Ago,2001/Set,2001/Out,2001/Nov,2001/Dez,2002/Jan,2002/Fev,2002/Mar,2002/Abr,2002/Mai,2002/Jun,2002/Jul,2002/Ago,2002/Set,2002/Out,2002/Nov,2002/Dez,2003/Jan,2003/Fev,2003/Mar,2003/Abr,2003/Mai,2003/Jun,2003/Jul,2003/Ago,2003/Set,2003/Out,2003/Nov,2003/Dez,2004/Jan,2004/Fev,2004/Mar,2004/Abr,2004/Mai,2004/Jun,2004/Jul,2004/Ago,2004/Set,2004/Out,2004/Nov,2004/Dez,2005/Jan,2005/Fev,2005/Mar,2005/Abr,2005/Mai,2005/Jun,2005/Jul,2005/Ago,2005/Set,2005/Out,2005/Nov,2005/Dez,2006/Jan,2006/Fev,2006/Mar,2006/Abr,2006/Mai,2006/Jun,2006/Jul,2006/Ago,2006/Set,2006/Out,2006/Nov,2006/Dez,2007/Jan,2007/Fev,2007/Mar,2007/Abr,2007/Mai,2007/Jun,2007/Jul,2007/Ago,2007/Set,2007/Out,2007/Nov,2007/Dez,2008/Jan,2008/Fev,2008/Mar,2008/Abr,2008/Mai,2008/Jun,2008/Jul,2008/Ago,2008/Set,2008/Out,2008/Nov,2008/Dez,2009/Jan,2009/Fev,2009/Mar,2009/Abr,2009/Mai,2009/Jun,2009/Jul,2009/Ago,2009/Set,2009/Out,2009/Nov,2009/Dez,2010/Jan,2010/Fev,2010/Mar,2010/Abr,2010/Mai,2010/Jun,2010/Jul,2010/Ago,2010/Set,2010/Out,2010/Nov,2010/Dez,2011/Jan,2011/Fev,2011/Mar,2011/Abr,2011/Mai,2011/Jun,2011/Jul,2011/Ago,2011/Set,2011/Out,2011/Nov,2011/Dez,2012/Jan,2012/Fev,2012/Mar,2012/Abr,2012/Mai,2012/Jun,2012/Jul,2012/Ago,2012/Set,2012/Out,2012/Nov,2012/Dez,2013/Jan,2013/Fev,2013/Mar,2013/Abr,2013/Mai,2013/Jun,2013/Jul,2013/Ago,2013/Set,2013/Out,2013/Nov,2013/Dez,2014/Jan,2014/Fev,2014/Mar,2014/Abr,2014/Mai,2014/Jun,2014/Jul,2014/Ago,2014/Set,2014/Out,2014/Nov,2014/Dez,2015/Jan,2015/Fev,2015/Mar,2015/Abr,2015/Mai,2015/Jun,2015/Jul,2015/Ago,2015/Set,2015/Out,2015/Nov,2015/Dez,2016/Jan,2016/Fev,2016/Mar,2016/Abr,2016/Mai,2016/Jun,2016/Jul,2016/Ago,2016/Set,2016/Out,2016/Nov,2016/Dez,2017/Jan,2017/Fev,2017/Mar,2017/Abr,2017/Mai,2017/Jun,2017/Jul,2017/Ago,2017/Set,2017/Out,2017/Nov,2017/Dez,2018/Jan,2018/Fev,2018/Mar,2018/Abr,2018/Mai,2018/Jun,2018/Jul,2018/Ago,2018/Set,2018/Out,2018/Nov,2018/Dez,2019/Jan,2019/Fev,2019/Mar,2019/Abr,2019/Mai,2019/Jun,2019/Jul,2019/Ago,2019/Set,2019/Out,2019/Nov,2019/Dez,2020/Jan,2020/Fev,2020/Mar,2020/Abr,2020/Mai,2020/Jun,2020/Jul,2020/Ago,2020/Set,2020/Out,2020/Nov,2020/Dez,2021/Jan,2021/Fev,2021/Mar,2021/Abr,2021/Mai,2021/Jun,2021/Jul,2021/Ago,2021/Set,2021/Out,2021/Nov,2021/Dez,2022/Jan,2022/Fev,2022/Mar,2022/Abr,2022/Mai,2022/Jun,2022/Jul,2022/Ago,2022/Set,2022/Out,2022/Nov,2022/Dez,2023/Jan,2023/Fev,2023/Mar,2023/Abr,2023/Mai,2023/Jun,2023/Jul,2023/Ago,2023/Set,2023/Out,2023/Nov,2023/Dez
3500105,350010,ADAMANTINA,0,0,0,0,0,0,0,0,0,2.985341970922769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.947244326554671,0,5.894488653109343,0,0,0,0,5.894488653109343,0,0,0,2.92243848266994,0,0,5.844876965339879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895529302756544,0,0,0,0,2.895529302756544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90985276145027,2.90985276145027,0,0,0,0,0,0,2.90985276145027,0,0,0,0,0,0,2.904950034859401,2.904950034859401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.956830277942046,0,2.956830277942046,0,0,0,2.954820790119079,2.954820790119079,0,0,0,0,2.954820790119079,0,0,0,0,0,0,0,0,0,2.860984750951277,0,2.860984750951277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.845840803665443,0,0,0,0,0,0,0,0,2.845840803665443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500204,350020,ADOLFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82403433476395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36783358701167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.94691457828079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500303,350030,AGUAI,0,7.093456286575635,0,3.546728143287817,0,0,0,0,0,0,0,3.546728143287817,0,10.43478260869565,3.478260869565217,0,0,3.478260869565217,0,0,3.478260869565217,0,0,0,0,0,0,0,0,0,3.423250718882651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.260089978483406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.444059686457217,0,0,3.148019895485739,0,0,0,0,12.59207958194296,0,0,0,0,0,0,0,0,0,3.313342831582784,3.313342831582784,0,3.148317224443535,0,0,0,0,3.148317224443535,0,0,0,0,0,3.148317224443535,0,0,0,0,3.115167751783434,3.115167751783434,3.115167751783434,0,0,0,0,0,0,0,0,0,0,0,0,0,3.110613412965037,0,3.110613412965037,3.110613412965037,0,0,3.081569135003543,0,0,3.081569135003543,0,0,0,0,3.081569135003543,3.081569135003543,3.053901358986105,3.053901358986105,0,0,0,0,3.053901358986105,0,3.053901358986105,3.053901358986105,0,0,0,2.925002925002925,2.925002925002925,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58412974225311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.816266756787203,0,0,0,0,0,2.781331701618735,0,0,0,0,0,0,0,2.781331701618735,0,0,0,0,2.754441536978378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500402,350040,AGUAS DA PRATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84466288245881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76273052573631,0,13.76273052573631,0,0,0,0,0,0,13.59434475258292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57404642323877,0,0,0,0,0,0,13.01405517959396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1250820317627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3395853899309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16397031991242,0,0,0,0,0,0,0,0,0,12.16397031991242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500501,350050,AGUAS DE LINDOIA,0,0,0,0,0,6.176652254478072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85514374377891,0,0,0,5.85514374377891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65757220505169,0,0,0,5.328786102525845,0,0,0,0,0,0,0,0,0,0,0,0,5.197505197505198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24364860728497,0,18.36547291092745,0,6.121824303642486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.119576525304448,0,0,0,0,0,0,0,0,0,0,11.58345882080389,5.791729410401946,0,0,0,0,0,0,0,0,0,0,5.76269232985651,0,0,0,0,0,5.734602592040372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52242102937928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.490885130683067,0,0,0,0,0,0,0,0,5.460601758313766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500550,350055,AGUAS DE SANTA BARBARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92906720839682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64170411050091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500600,350060,AGUAS DE SAO PEDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500709,350070,AGUDOS,0,0,3.078438615933998,0,0,3.078438615933998,3.078438615933998,3.078438615933998,0,0,0,9.235315847801994,0,0,0,3.052130387010133,0,3.052130387010133,6.104260774020267,0,0,0,0,3.052130387010133,0,0,0,0,3.033244358165494,0,0,0,0,0,0,0,6.025366794203597,0,0,0,0,0,0,0,0,0,0,0,0,5.940888162780336,0,0,2.970444081390168,2.970444081390168,0,0,0,5.940888162780336,2.970444081390168,0,0,0,0,0,0,0,0,5.89518363497023,2.947591817485115,0,0,2.947591817485115,2.92525961679099,0,0,0,0,0,5.850519233581981,2.92525961679099,2.92525961679099,0,8.775778850372971,0,0,2.922182285730984,2.922182285730984,0,0,2.922182285730984,0,2.922182285730984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.763346965845031,0,0,0,0,0,0,0,0,0,0,2.896535743251072,0,5.793071486502144,5.793071486502144,2.896535743251072,0,2.896535743251072,2.896535743251072,14.48267871625536,8.689607229753216,2.883423200023068,2.883423200023068,0,0,0,0,0,0,0,0,2.883423200023068,0,0,0,0,0,0,0,0,2.870840869290615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.766251728907331,0,0,0,0,0,0,0,5.503728776245906,0,0,0,0,2.737925747453729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.724498692240628,0,2.724498692240628,0,0,0,0,0,2.711496746203904,0,0,0,0,5.422993492407809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500758,350075,ALAMBARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9323996768112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1164794985636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3500808,350080,ALFREDO MARCONDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.30194634402946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98752598752599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
