MUN,CD_MUN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ADAMANTINA,3500105,1.81137690946559,1.816023120875173,1.8689501807095856,1.8840999618920014,1.9061191569151452,1.9146036578824088,1.925512696274397,1.952783613803348,1.9899512846279128,2.0398506248983583,2.0814644908698576,2.182872925359295,2.227520016893737,2.2418625291574736,2.2650950646500982,2.283074436814754,2.3172129239514834,2.3660982858682433,2.461241658110571,2.5573940561231296,2.6313230805826393,2.6686928301135713,2.6765711466623947,2.6963680917116313,2.7818255
ADOLFO,3500204,0.28714009950013025,0.2938638165407121,0.3092890402975528,0.320758955722442,0.32273652081211057,0.33064670204449076,0.33381080713558076,0.3393477756982777,0.34330145601857337,0.37374546397858377,0.4109177508232451,0.44966757669801705,0.47774370756437895,0.5038414697590675,0.5263823567316576,0.5536605543578688,0.5947837653692165,0.6102052493425884,0.6335359351827723,0.6576587974698537,0.6857358389993129,0.6972053024093245,0.700764417331975,0.7177690071308427,0.744658481
AGUAI,3500303,1.2872542479886377,1.308070258389983,1.3344835890119988,1.3913395135221704,1.3999114250433038,1.4132061900226318,1.4355971394193285,1.446967213636383,1.4572880207521166,1.4751298008235103,1.4885990441551435,1.5080158076846892,1.5143133618091935,1.528482349321679,1.6045681770673095,1.627832953467888,1.6316814379396232,1.652673818996363,1.6691174938995352,1.7166981837683382,1.744162528816531,1.7709272767693456,1.7735512415868373,1.789994457532757,1.89110033
AGUAS DA PRATA,3500402,0.9917529960118594,1.088417436375488,1.121613179087844,1.1332600400916781,1.1676194507720452,1.1868357348622376,1.2241058721692262,1.2305125020150975,1.235173209366874,1.2404154107644754,1.2468209822461152,1.257885050430004,1.2928225018048265,1.3073804006364202,1.3755133276793787,1.4104495055126056,1.4273353598788838,1.4401480343162336,1.483822012574208,1.484404281819265,1.5210930028807133,1.5274983290461406,1.5339055266238182,1.5467185914643975,1.597964406
AGUAS DE LINDOIA,3500501,5.4374957239796435,6.096872928516781,6.303357460998569,6.474052987060507,6.614473650334299,6.710834153278116,6.82923149885241,6.924217032564947,7.075653234873433,7.154121940591425,7.172018334830191,7.173398029138808,7.217445466187673,7.375756602800785,7.59050573628713,7.737806572863653,7.791493744802581,7.839674674849483,7.878220623357615,7.936038001862755,7.970453173335995,8.05029761334531,8.061310318331504,8.189335026444466,8.50047103
AGUAS DE SANTA BARBARA,3500550,0.9418815179633241,1.1031442482995972,1.1366209640931308,1.3668875605432387,1.5305860864899878,1.5544739330915311,1.6026483364362127,1.6161203781310034,1.6181610592316233,1.6244873395094235,1.6259161970316196,1.6373442057740755,1.6595886103302402,1.689184777593995,1.7200070414351867,1.7263333484150587,1.7351087778115675,1.745925111814925,1.7532709877046848,1.7973578366871628,1.857771259422988,1.8734889361944107,1.905329147783604,1.97513487883935,3.415706666
AGUAS DE SAO PEDRO,3500600,38.50861063122923,39.4472988372093,40.248622868217055,40.752306810631225,40.8667799833887,41.00414764673311,41.11862223145072,41.25598792912514,41.4849369324474,41.75967782392026,41.73678341638981,41.91993826135105,42.12599210963455,42.286249916943525,42.58387796234773,42.9044030454042,43.17913856589147,43.4080919158361,43.47677718715393,43.797310520487265,43.843100664451825,43.957573588039864,44.02626068660022,44.11784437984496,44.94207285
AGUDOS,3500709,0.741060929256818,0.7612677917220092,0.7782212889517828,0.813156476826508,0.8593949790422755,0.866671355569624,0.8760895312752145,0.8801141115000599,0.8963835832536815,0.9075084041923726,0.9185545761491578,0.939103098660609,0.9703550559217468,0.9882501539244528,1.0186454148512272,1.0293487119171458,1.043820239410453,1.0554665710845468,1.0649720339544102,1.0764468091709183,1.0791874816387161,1.0841544054668009,1.0852676444179628,1.0994872381318868,1.20428942
ALAMBARI,3500758,0.670460444235589,0.7337532330827068,0.7764601936090225,0.8186535000000001,0.9421496290726817,1.0255070545112783,1.1253303740601506,1.1541469843358398,1.3013023602756892,1.3877426660401004,1.457207496867168,1.514840714285714,1.5441714624060152,1.5549764605263159,1.5786460601503758,1.5992274887218045,1.636789726190476,1.6573745319548872,1.694937941729323,1.709346373433584,1.7325031190476192,1.7417654235588973,1.7515428345864663,1.7582323364661656,2.210503801
ALFREDO MARCONDES,3500808,0.41354942101501074,0.4631478947147122,0.47642078963965856,0.48061221544800903,0.48270787873691284,0.4903922507673548,0.5134452188538032,0.5169379430685784,0.5344025656981878,0.5805084446873817,0.619629167052096,0.6454766724130682,0.664337936341084,0.7167291922802,0.7348915721313543,0.7362886591262666,0.7397814918218896,0.7537526989866711,0.7565467762687633,0.7628336887692889,0.7837897245931967,0.7879808720514654,0.786583780851869,0.7893779237270317,0.897657369
