ds,actual,yhat,yhat_lower,yhat_upper,cod_mun,nome_mun,doenca
2024-01-01,,0.0,0.0,4.890878181223308,3519253,Iaras,hepatite
2024-02-01,,0.0,0.0,5.7742229930418185,3519253,Iaras,hepatite
2024-03-01,,0.0,0.0,5.0212717715139235,3519253,Iaras,hepatite
2024-04-01,,0.0,0.0,5.355631972813072,3519253,Iaras,hepatite
2024-05-01,,0.0,0.0,5.129926189863957,3519253,Iaras,hepatite
2024-06-01,,0.0,0.0,4.788759399311269,3519253,Iaras,hepatite
2024-07-01,,0.0,0.0,5.2991299634518345,3519253,Iaras,hepatite
2024-08-01,,0.0,0.0,5.115165486592606,3519253,Iaras,hepatite
2024-09-01,,0.0,0.0,5.5420299365880155,3519253,Iaras,hepatite
2024-10-01,,0.0,0.0,4.710773001446692,3519253,Iaras,hepatite
2024-11-01,,0.0,0.0,5.384715197390314,3519253,Iaras,hepatite
2024-12-01,,0.0,0.0,5.526443891555849,3519253,Iaras,hepatite
2025-01-01,,0.0,0.0,5.277189157780195,3519253,Iaras,hepatite
2025-02-01,,0.0,0.0,5.196577854684671,3519253,Iaras,hepatite
2025-03-01,,0.0,0.0,4.734920236797988,3519253,Iaras,hepatite
2025-04-01,,0.0,0.0,5.560463699738783,3519253,Iaras,hepatite
2025-05-01,,0.0,0.0,5.267463128712401,3519253,Iaras,hepatite
2025-06-01,,0.0,0.0,5.225607757379923,3519253,Iaras,hepatite
2025-07-01,,0.0,0.0,5.382364793254948,3519253,Iaras,hepatite
2025-08-01,,0.0,0.0,5.297792715305757,3519253,Iaras,hepatite
2025-09-01,,0.0,0.0,5.382864776851559,3519253,Iaras,hepatite
2025-10-01,,0.0,0.0,5.289439370238121,3519253,Iaras,hepatite
2025-11-01,,0.0,0.0,5.004149273610824,3519253,Iaras,hepatite
2025-12-01,,0.0,0.0,5.840042579968954,3519253,Iaras,hepatite
2026-01-01,,0.0,0.0,5.615274432505702,3519253,Iaras,hepatite
2026-02-01,,0.0,0.0,4.959373357545059,3519253,Iaras,hepatite
2026-03-01,,0.0,0.0,4.829992993136952,3519253,Iaras,hepatite
2026-04-01,,0.0,0.0,4.948768147682755,3519253,Iaras,hepatite
2026-05-01,,0.0,0.0,5.6275509215419115,3519253,Iaras,hepatite
2026-06-01,,0.0,0.0,5.105478927542219,3519253,Iaras,hepatite
2026-07-01,,0.0,0.0,5.404849545835737,3519253,Iaras,hepatite
2026-08-01,,0.0,0.0,4.89612147440405,3519253,Iaras,hepatite
2026-09-01,,0.0,0.0,4.860941995288794,3519253,Iaras,hepatite
2026-10-01,,0.0,0.0,4.988578002297542,3519253,Iaras,hepatite
2026-11-01,,0.0,0.0,5.131500984891042,3519253,Iaras,hepatite
2026-12-01,,0.0,0.0,5.495073483246993,3519253,Iaras,hepatite
2027-01-01,,0.0,0.0,4.972646580888708,3519253,Iaras,hepatite
2027-02-01,,0.0,0.0,4.869959737250382,3519253,Iaras,hepatite
2027-03-01,,0.0,0.0,4.2923386612239005,3519253,Iaras,hepatite
2027-04-01,,0.0,0.0,5.384688498575919,3519253,Iaras,hepatite
2027-05-01,,0.0,0.0,5.060956482358431,3519253,Iaras,hepatite
2027-06-01,,0.0,0.0,4.954925504558816,3519253,Iaras,hepatite
2027-07-01,,0.0,0.0,5.33747814617452,3519253,Iaras,hepatite
2027-08-01,,0.0,0.0,4.884442664574299,3519253,Iaras,hepatite
2027-09-01,,0.0,0.0,5.201029984672595,3519253,Iaras,hepatite
2027-10-01,,0.0,0.0,4.949455227156379,3519253,Iaras,hepatite
2027-11-01,,0.0,0.0,5.334146290177821,3519253,Iaras,hepatite
2027-12-01,,0.0,0.0,5.2640330794062775,3519253,Iaras,hepatite
2028-01-01,,0.0,0.0,5.3315613893385025,3519253,Iaras,hepatite
2028-02-01,,0.0,0.0,5.241306720157804,3519253,Iaras,hepatite
2028-03-01,,0.0,0.0,4.28116539066916,3519253,Iaras,hepatite
2028-04-01,,0.0,0.0,5.143574926559841,3519253,Iaras,hepatite
2028-05-01,,0.0,0.0,5.1748634035098835,3519253,Iaras,hepatite
2028-06-01,,0.0,0.0,4.656932743753612,3519253,Iaras,hepatite
2028-07-01,,0.0,0.0,5.02052982878915,3519253,Iaras,hepatite
2028-08-01,,0.0,0.0,5.190768265908538,3519253,Iaras,hepatite
2028-09-01,,0.0,0.0,4.98252420542598,3519253,Iaras,hepatite
2028-10-01,,0.0,0.0,4.390083200268532,3519253,Iaras,hepatite
2028-11-01,,0.0,0.0,5.357427203703577,3519253,Iaras,hepatite
2028-12-01,,0.0,0.0,5.077647623699278,3519253,Iaras,hepatite
2029-01-01,,0.0,0.0,5.404140030570073,3519253,Iaras,hepatite
2029-02-01,,0.0,0.0,5.45079146483115,3519253,Iaras,hepatite
2029-03-01,,0.0,0.0,4.3556604730335176,3519253,Iaras,hepatite
2029-04-01,,0.0,0.0,4.945862671746808,3519253,Iaras,hepatite
2029-05-01,,0.0,0.0,4.761804944076573,3519253,Iaras,hepatite
2029-06-01,,0.0,0.0,4.858602655997334,3519253,Iaras,hepatite
2029-07-01,,0.0,0.0,4.9151025100691035,3519253,Iaras,hepatite
2029-08-01,,0.0,0.0,4.74316471845686,3519253,Iaras,hepatite
2029-09-01,,0.0,0.0,4.835738899473765,3519253,Iaras,hepatite
2029-10-01,,0.0,0.0,4.5994839977433415,3519253,Iaras,hepatite
2029-11-01,,0.0,0.0,4.881295658056775,3519253,Iaras,hepatite
2029-12-01,,0.0,0.0,5.15365967493826,3519253,Iaras,hepatite
2030-01-01,,0.0,0.0,4.959258515367507,3519253,Iaras,hepatite
2030-02-01,,0.0,0.0,5.294819314905656,3519253,Iaras,hepatite
2030-03-01,,0.0,0.0,3.466511331512353,3519253,Iaras,hepatite
2030-04-01,,0.0,0.0,5.231860888812576,3519253,Iaras,hepatite
2030-05-01,,0.0,0.0,5.117375765794181,3519253,Iaras,hepatite
2030-06-01,,0.0,0.0,4.39860611417946,3519253,Iaras,hepatite
2030-07-01,,0.0,0.0,4.963625455592441,3519253,Iaras,hepatite
2030-08-01,,0.0,0.0,4.89704299545608,3519253,Iaras,hepatite
2030-09-01,,0.0,0.0,4.513422009656675,3519253,Iaras,hepatite
2030-10-01,,0.0,0.0,4.427280775266494,3519253,Iaras,hepatite
2030-11-01,,0.0,0.0,4.6357350571378735,3519253,Iaras,hepatite
2030-12-01,,0.0,0.0,4.675437789194763,3519253,Iaras,hepatite
2031-01-01,,0.0,0.0,4.577708744760625,3519253,Iaras,hepatite
2031-02-01,,0.0,0.0,4.963628056701655,3519253,Iaras,hepatite
2031-03-01,,0.0,0.0,3.320994476849881,3519253,Iaras,hepatite
2031-04-01,,0.0,0.0,4.943648992373761,3519253,Iaras,hepatite
2031-05-01,,0.0,0.0,4.8606827608535905,3519253,Iaras,hepatite
2031-06-01,,0.0,0.0,4.371754717729389,3519253,Iaras,hepatite
2031-07-01,,0.0,0.0,4.605690756623513,3519253,Iaras,hepatite
2031-08-01,,0.0,0.0,4.8442212910792755,3519253,Iaras,hepatite
2031-09-01,,0.0,0.0,4.623794997977792,3519253,Iaras,hepatite
2031-10-01,,0.0,0.0,4.34403322782649,3519253,Iaras,hepatite
2031-11-01,,0.0,0.0,4.696289857702578,3519253,Iaras,hepatite
2031-12-01,,0.0,0.0,4.776724729557932,3519253,Iaras,hepatite
2032-01-01,,0.0,0.0,4.731534503602112,3519253,Iaras,hepatite
2032-02-01,,0.0,0.0,5.236099360585177,3519253,Iaras,hepatite
2032-03-01,,0.0,0.0,3.283225820344824,3519253,Iaras,hepatite
2032-04-01,,0.0,0.0,4.620315475172337,3519253,Iaras,hepatite
2032-05-01,,0.0,0.0,4.378988962163418,3519253,Iaras,hepatite
2032-06-01,,0.0,0.0,4.222707054027786,3519253,Iaras,hepatite
2032-07-01,,0.0,0.0,4.463917313514506,3519253,Iaras,hepatite
2032-08-01,,0.0,0.0,4.3308510590144715,3519253,Iaras,hepatite
2032-09-01,,0.0,0.0,4.601697602214274,3519253,Iaras,hepatite
2032-10-01,,0.0,0.0,4.0430568682271275,3519253,Iaras,hepatite
2032-11-01,,0.0,0.0,4.615681794104474,3519253,Iaras,hepatite
2032-12-01,,0.0,0.0,4.6622421986565685,3519253,Iaras,hepatite
2033-01-01,,0.0,0.0,4.890690100220969,3519253,Iaras,hepatite
2033-02-01,,0.0,0.0,4.8590728693237555,3519253,Iaras,hepatite
2033-03-01,,0.0,0.0,2.5287726738418095,3519253,Iaras,hepatite
2033-04-01,,0.0,0.0,4.330864598356859,3519253,Iaras,hepatite
2033-05-01,,0.0,0.0,4.7436461524732625,3519253,Iaras,hepatite
2033-06-01,,0.0,0.0,3.972046755850563,3519253,Iaras,hepatite
2033-07-01,,0.0,0.0,4.330962223333248,3519253,Iaras,hepatite
2033-08-01,,0.0,0.0,4.44479405282883,3519253,Iaras,hepatite
2033-09-01,,0.0,0.0,4.666132280518056,3519253,Iaras,hepatite
2033-10-01,,0.0,0.0,4.133359815695584,3519253,Iaras,hepatite
2033-11-01,,0.0,0.0,4.35226206771236,3519253,Iaras,hepatite
2033-12-01,,0.0,0.0,4.45097521467777,3519253,Iaras,hepatite
2034-01-01,,0.0,0.0,4.814324606863315,3519253,Iaras,hepatite
2034-02-01,,0.0,0.0,5.0803271834450685,3519253,Iaras,hepatite
2034-03-01,,0.0,0.0,2.600930764598399,3519253,Iaras,hepatite
2034-04-01,,0.0,0.0,4.7431624570884905,3519253,Iaras,hepatite
2034-05-01,,0.0,0.0,4.621088221899047,3519253,Iaras,hepatite
2034-06-01,,0.0,0.0,4.072695133864505,3519253,Iaras,hepatite
2034-07-01,,0.0,0.0,4.494769008020946,3519253,Iaras,hepatite
2034-08-01,,0.0,0.0,4.565139285194251,3519253,Iaras,hepatite
2034-09-01,,0.0,0.0,4.409465101183742,3519253,Iaras,hepatite
2034-10-01,,0.0,0.0,3.9226946961556712,3519253,Iaras,hepatite
2034-11-01,,0.0,0.0,4.470722829966047,3519253,Iaras,hepatite
2034-12-01,,0.0,0.0,4.225042018488403,3519253,Iaras,hepatite
