ds,actual,yhat,yhat_lower,yhat_upper,cod_mun,nome_mun,doenca
2024-01-01,,0.0,0.0,1.3324654196407556e-09,3525409,Jeriquara,sifilis
2024-02-01,,0.0,0.0,1.3116302857856868e-09,3525409,Jeriquara,sifilis
2024-03-01,,0.0,0.0,1.2532628061499116e-09,3525409,Jeriquara,sifilis
2024-04-01,,0.0,0.0,1.2824477433722362e-09,3525409,Jeriquara,sifilis
2024-05-01,,0.0,0.0,1.3137456615320717e-09,3525409,Jeriquara,sifilis
2024-06-01,,0.0,0.0,1.3250370163514806e-09,3525409,Jeriquara,sifilis
2024-07-01,,0.0,0.0,1.310587002768805e-09,3525409,Jeriquara,sifilis
2024-08-01,,0.0,0.0,1.3338830530764608e-09,3525409,Jeriquara,sifilis
2024-09-01,,0.0,0.0,1.2620551555869472e-09,3525409,Jeriquara,sifilis
2024-10-01,,0.0,0.0,1.3135479652759086e-09,3525409,Jeriquara,sifilis
2024-11-01,,0.0,0.0,1.3094930681345208e-09,3525409,Jeriquara,sifilis
2024-12-01,,0.0,0.0,1.2828505149102754e-09,3525409,Jeriquara,sifilis
2025-01-01,,0.0,0.0,1.3427997767940802e-09,3525409,Jeriquara,sifilis
2025-02-01,,0.0,0.0,1.3502116634734195e-09,3525409,Jeriquara,sifilis
2025-03-01,,0.0,0.0,1.3015607608521144e-09,3525409,Jeriquara,sifilis
2025-04-01,,0.0,0.0,1.3326329287668274e-09,3525409,Jeriquara,sifilis
2025-05-01,,0.0,0.0,1.3974708344531917e-09,3525409,Jeriquara,sifilis
2025-06-01,,0.0,0.0,1.37580277959555e-09,3525409,Jeriquara,sifilis
2025-07-01,,0.0,0.0,1.528838076694598e-09,3525409,Jeriquara,sifilis
2025-08-01,,0.0,0.0,1.4608704362542437e-09,3525409,Jeriquara,sifilis
2025-09-01,,0.0,0.0,1.5521557235083562e-09,3525409,Jeriquara,sifilis
2025-10-01,,0.0,0.0,1.4931743756529624e-09,3525409,Jeriquara,sifilis
2025-11-01,,0.0,0.0,1.5761033355069898e-09,3525409,Jeriquara,sifilis
2025-12-01,,0.0,0.0,1.5933866393756684e-09,3525409,Jeriquara,sifilis
2026-01-01,,0.0,0.0,1.8140197106699967e-09,3525409,Jeriquara,sifilis
2026-02-01,,0.0,0.0,1.7223892614354267e-09,3525409,Jeriquara,sifilis
2026-03-01,,0.0,0.0,1.6384958274663999e-09,3525409,Jeriquara,sifilis
2026-04-01,,0.0,0.0,1.9404706110912188e-09,3525409,Jeriquara,sifilis
2026-05-01,,0.0,0.0,1.7918023508322097e-09,3525409,Jeriquara,sifilis
2026-06-01,,0.0,0.0,1.9457901465538616e-09,3525409,Jeriquara,sifilis
2026-07-01,,0.0,0.0,2.067847468046424e-09,3525409,Jeriquara,sifilis
2026-08-01,,0.0,0.0,2.1274436114752365e-09,3525409,Jeriquara,sifilis
2026-09-01,,0.0,0.0,2.0507815481817233e-09,3525409,Jeriquara,sifilis
2026-10-01,,0.0,0.0,2.370285258490719e-09,3525409,Jeriquara,sifilis
2026-11-01,,0.0,0.0,2.186541125646215e-09,3525409,Jeriquara,sifilis
2026-12-01,,0.0,0.0,2.312144771518149e-09,3525409,Jeriquara,sifilis
2027-01-01,,0.0,0.0,2.506863629439632e-09,3525409,Jeriquara,sifilis
2027-02-01,,0.0,0.0,2.3852364654927174e-09,3525409,Jeriquara,sifilis
2027-03-01,,0.0,0.0,2.6537951854150454e-09,3525409,Jeriquara,sifilis
2027-04-01,,0.0,0.0,2.674134004568242e-09,3525409,Jeriquara,sifilis
2027-05-01,,0.0,0.0,2.7459820206569423e-09,3525409,Jeriquara,sifilis
2027-06-01,,0.0,0.0,2.790881927012216e-09,3525409,Jeriquara,sifilis
2027-07-01,,0.0,0.0,3.1069945098486663e-09,3525409,Jeriquara,sifilis
2027-08-01,,0.0,0.0,2.983274090064013e-09,3525409,Jeriquara,sifilis
2027-09-01,,0.0,0.0,3.035086366160882e-09,3525409,Jeriquara,sifilis
2027-10-01,,0.0,0.0,3.1657212726057593e-09,3525409,Jeriquara,sifilis
2027-11-01,,0.0,0.0,3.1844863819374696e-09,3525409,Jeriquara,sifilis
2027-12-01,,0.0,0.0,3.357574044807849e-09,3525409,Jeriquara,sifilis
2028-01-01,,0.0,0.0,3.5538131711030586e-09,3525409,Jeriquara,sifilis
2028-02-01,,0.0,0.0,3.5694101539797918e-09,3525409,Jeriquara,sifilis
2028-03-01,,0.0,0.0,3.6456583044505294e-09,3525409,Jeriquara,sifilis
2028-04-01,,0.0,0.0,3.578146002682546e-09,3525409,Jeriquara,sifilis
2028-05-01,,0.0,0.0,3.84777965394156e-09,3525409,Jeriquara,sifilis
2028-06-01,,0.0,0.0,3.975018310235076e-09,3525409,Jeriquara,sifilis
2028-07-01,,0.0,0.0,3.8802136717720945e-09,3525409,Jeriquara,sifilis
2028-08-01,,0.0,0.0,4.133423288130489e-09,3525409,Jeriquara,sifilis
2028-09-01,,0.0,0.0,4.154453828614581e-09,3525409,Jeriquara,sifilis
2028-10-01,,0.0,0.0,4.383869287685224e-09,3525409,Jeriquara,sifilis
2028-11-01,,0.0,0.0,4.3882129101130185e-09,3525409,Jeriquara,sifilis
2028-12-01,,0.0,0.0,4.545381176519239e-09,3525409,Jeriquara,sifilis
2029-01-01,,0.0,0.0,4.553555657531585e-09,3525409,Jeriquara,sifilis
2029-02-01,,0.0,0.0,4.624661258856021e-09,3525409,Jeriquara,sifilis
2029-03-01,,0.0,0.0,4.629076077684247e-09,3525409,Jeriquara,sifilis
2029-04-01,,0.0,0.0,4.714413058867462e-09,3525409,Jeriquara,sifilis
2029-05-01,,0.0,0.0,4.99403143049838e-09,3525409,Jeriquara,sifilis
2029-06-01,,0.0,0.0,5.2576276373093796e-09,3525409,Jeriquara,sifilis
2029-07-01,,0.0,0.0,5.16975788242512e-09,3525409,Jeriquara,sifilis
2029-08-01,,0.0,0.0,5.4390422683688245e-09,3525409,Jeriquara,sifilis
2029-09-01,,0.0,0.0,5.5639784092536405e-09,3525409,Jeriquara,sifilis
2029-10-01,,0.0,0.0,5.8976860088743105e-09,3525409,Jeriquara,sifilis
2029-11-01,,0.0,0.0,5.833698849929481e-09,3525409,Jeriquara,sifilis
2029-12-01,,0.0,0.0,6.009042717860847e-09,3525409,Jeriquara,sifilis
2030-01-01,,0.0,0.0,6.09219932721834e-09,3525409,Jeriquara,sifilis
2030-02-01,,0.0,0.0,6.2513208716587695e-09,3525409,Jeriquara,sifilis
2030-03-01,,0.0,0.0,6.38804819031309e-09,3525409,Jeriquara,sifilis
2030-04-01,,0.0,0.0,6.626185044187715e-09,3525409,Jeriquara,sifilis
2030-05-01,,0.0,0.0,6.4738337691020345e-09,3525409,Jeriquara,sifilis
2030-06-01,,0.0,0.0,6.974347028756135e-09,3525409,Jeriquara,sifilis
2030-07-01,,0.0,0.0,6.925843183075801e-09,3525409,Jeriquara,sifilis
2030-08-01,,0.0,0.0,6.957393492139343e-09,3525409,Jeriquara,sifilis
2030-09-01,,0.0,0.0,7.1372897466570804e-09,3525409,Jeriquara,sifilis
2030-10-01,,0.0,0.0,7.2353110004485865e-09,3525409,Jeriquara,sifilis
2030-11-01,,0.0,0.0,7.411145107022517e-09,3525409,Jeriquara,sifilis
2030-12-01,,0.0,0.0,7.346997999012133e-09,3525409,Jeriquara,sifilis
2031-01-01,,0.0,0.0,7.751393216318013e-09,3525409,Jeriquara,sifilis
2031-02-01,,0.0,0.0,8.078612281365338e-09,3525409,Jeriquara,sifilis
2031-03-01,,0.0,0.0,8.027686164002974e-09,3525409,Jeriquara,sifilis
2031-04-01,,0.0,0.0,8.329398860935037e-09,3525409,Jeriquara,sifilis
2031-05-01,,0.0,0.0,8.192312905053882e-09,3525409,Jeriquara,sifilis
2031-06-01,,0.0,0.0,8.221663514583377e-09,3525409,Jeriquara,sifilis
2031-07-01,,0.0,0.0,8.268336582281065e-09,3525409,Jeriquara,sifilis
2031-08-01,,0.0,0.0,8.267980680637113e-09,3525409,Jeriquara,sifilis
2031-09-01,,0.0,0.0,8.903513085254262e-09,3525409,Jeriquara,sifilis
2031-10-01,,0.0,0.0,9.030310288183957e-09,3525409,Jeriquara,sifilis
2031-11-01,,0.0,0.0,9.044521233417024e-09,3525409,Jeriquara,sifilis
2031-12-01,,0.0,0.0,9.087013421836087e-09,3525409,Jeriquara,sifilis
2032-01-01,,0.0,0.0,9.646981628320232e-09,3525409,Jeriquara,sifilis
2032-02-01,,0.0,0.0,9.34323308894213e-09,3525409,Jeriquara,sifilis
2032-03-01,,0.0,0.0,9.748951873484548e-09,3525409,Jeriquara,sifilis
2032-04-01,,0.0,0.0,9.897998556385675e-09,3525409,Jeriquara,sifilis
2032-05-01,,0.0,0.0,9.69411952123595e-09,3525409,Jeriquara,sifilis
2032-06-01,,0.0,0.0,9.941297543332114e-09,3525409,Jeriquara,sifilis
2032-07-01,,0.0,0.0,9.951673532304894e-09,3525409,Jeriquara,sifilis
2032-08-01,,0.0,0.0,1.0425365209680418e-08,3525409,Jeriquara,sifilis
2032-09-01,,0.0,0.0,1.0293340143917294e-08,3525409,Jeriquara,sifilis
2032-10-01,,0.0,0.0,1.0712647200763026e-08,3525409,Jeriquara,sifilis
2032-11-01,,0.0,0.0,1.0491254842491336e-08,3525409,Jeriquara,sifilis
2032-12-01,,0.0,0.0,1.1145992148164494e-08,3525409,Jeriquara,sifilis
2033-01-01,,0.0,0.0,1.0943633911540588e-08,3525409,Jeriquara,sifilis
2033-02-01,,0.0,0.0,1.1360772883302764e-08,3525409,Jeriquara,sifilis
2033-03-01,,0.0,0.0,1.1768130734251789e-08,3525409,Jeriquara,sifilis
2033-04-01,,0.0,0.0,1.1751481588459634e-08,3525409,Jeriquara,sifilis
2033-05-01,,0.0,0.0,1.1778622675947765e-08,3525409,Jeriquara,sifilis
2033-06-01,,0.0,0.0,1.170852108073133e-08,3525409,Jeriquara,sifilis
2033-07-01,,0.0,0.0,1.1933352282318195e-08,3525409,Jeriquara,sifilis
2033-08-01,,0.0,0.0,1.2157635473617683e-08,3525409,Jeriquara,sifilis
2033-09-01,,0.0,0.0,1.208853822823152e-08,3525409,Jeriquara,sifilis
2033-10-01,,0.0,0.0,1.276151144563137e-08,3525409,Jeriquara,sifilis
2033-11-01,,0.0,0.0,1.2648477083703616e-08,3525409,Jeriquara,sifilis
2033-12-01,,0.0,0.0,1.3150845911748028e-08,3525409,Jeriquara,sifilis
2034-01-01,,0.0,0.0,1.3209084903414342e-08,3525409,Jeriquara,sifilis
2034-02-01,,0.0,0.0,1.309692130897736e-08,3525409,Jeriquara,sifilis
2034-03-01,,0.0,0.0,1.3746829765914426e-08,3525409,Jeriquara,sifilis
2034-04-01,,0.0,0.0,1.3762054111816045e-08,3525409,Jeriquara,sifilis
2034-05-01,,0.0,0.0,1.3953365971928236e-08,3525409,Jeriquara,sifilis
2034-06-01,,0.0,0.0,1.4132164254649126e-08,3525409,Jeriquara,sifilis
2034-07-01,,0.0,0.0,1.4508764721136479e-08,3525409,Jeriquara,sifilis
2034-08-01,,0.0,0.0,1.4438532450525268e-08,3525409,Jeriquara,sifilis
2034-09-01,,0.0,0.0,1.4780455142263301e-08,3525409,Jeriquara,sifilis
2034-10-01,,0.0,0.0,1.4749055931227929e-08,3525409,Jeriquara,sifilis
2034-11-01,,0.0,0.0,1.5008813390561104e-08,3525409,Jeriquara,sifilis
2034-12-01,,0.0,0.0,1.5199738448063048e-08,3525409,Jeriquara,sifilis
2035-01-01,,0.0,0.0,1.5433015320727048e-08,3525409,Jeriquara,sifilis
2035-02-01,,0.0,0.0,1.5804299096915716e-08,3525409,Jeriquara,sifilis
2035-03-01,,0.0,0.0,1.6028943051459477e-08,3525409,Jeriquara,sifilis
2035-04-01,,0.0,0.0,1.5848419845202445e-08,3525409,Jeriquara,sifilis
2035-05-01,,0.0,0.0,1.614603402712504e-08,3525409,Jeriquara,sifilis
2035-06-01,,0.0,0.0,1.658375543760037e-08,3525409,Jeriquara,sifilis
2035-07-01,,0.0,0.0,1.6624025441530507e-08,3525409,Jeriquara,sifilis
2035-08-01,,0.0,0.0,1.6631686806635003e-08,3525409,Jeriquara,sifilis
2035-09-01,,0.0,0.0,1.7072108952707736e-08,3525409,Jeriquara,sifilis
2035-10-01,,0.0,0.0,1.7701741974945006e-08,3525409,Jeriquara,sifilis
2035-11-01,,0.0,0.0,1.69118668145624e-08,3525409,Jeriquara,sifilis
2035-12-01,,0.0,0.0,1.7510260685318912e-08,3525409,Jeriquara,sifilis
