ds,cod_mun,disease,y_true,y_pred,yhat_lower,yhat_upper
1999-01-01,3538303,hanseniase,0.0,0.0,0.0,1.2015683604014284e-09
1999-02-01,3538303,hanseniase,0.0,0.0,0.0,1.3921192390545647e-09
1999-03-01,3538303,hanseniase,0.0,0.0,0.0,1.2555436323589301e-09
1999-04-01,3538303,hanseniase,0.0,0.0,0.0,1.2122729388656474e-09
1999-05-01,3538303,hanseniase,0.0,0.0,0.0,1.2965372151549024e-09
1999-06-01,3538303,hanseniase,0.0,0.0,0.0,1.270695458044452e-09
1999-07-01,3538303,hanseniase,0.0,0.0,0.0,1.2897940040318235e-09
1999-08-01,3538303,hanseniase,0.0,0.0,0.0,1.3582580733403742e-09
1999-09-01,3538303,hanseniase,0.0,0.0,0.0,1.1978649243165523e-09
1999-10-01,3538303,hanseniase,0.0,0.0,0.0,1.301700693267758e-09
1999-11-01,3538303,hanseniase,0.0,0.0,0.0,1.2635319538193165e-09
1999-12-01,3538303,hanseniase,0.0,0.0,0.0,1.3178087745416022e-09
2000-01-01,3538303,hanseniase,0.0,0.0,0.0,1.1987557795163968e-09
2000-02-01,3538303,hanseniase,0.0,0.0,0.0,1.2275169841038392e-09
2000-03-01,3538303,hanseniase,0.0,0.0,0.0,1.182593749397296e-09
2000-04-01,3538303,hanseniase,0.0,0.0,0.0,1.3093329279383358e-09
2000-05-01,3538303,hanseniase,0.0,0.0,0.0,1.2399559977182513e-09
2000-06-01,3538303,hanseniase,0.0,0.0,0.0,1.3228545636567906e-09
2000-07-01,3538303,hanseniase,0.0,0.0,0.0,1.349015720703878e-09
2000-08-01,3538303,hanseniase,0.0,0.0,0.0,1.321352016870955e-09
2000-09-01,3538303,hanseniase,0.0,0.0,0.0,1.3390701101279217e-09
2000-10-01,3538303,hanseniase,0.0,0.0,0.0,1.299278550124188e-09
2000-11-01,3538303,hanseniase,0.0,0.0,0.0,1.284823132722091e-09
2000-12-01,3538303,hanseniase,0.0,0.0,0.0,1.2919159758600104e-09
2001-01-01,3538303,hanseniase,0.0,0.0,0.0,1.3132780461571894e-09
2001-02-01,3538303,hanseniase,0.0,0.0,0.0,1.265675324128289e-09
2001-03-01,3538303,hanseniase,0.0,0.0,0.0,1.2305610350905187e-09
2001-04-01,3538303,hanseniase,0.0,0.0,0.0,1.2766089628313209e-09
2001-05-01,3538303,hanseniase,0.0,0.0,0.0,1.2184543196962048e-09
2001-06-01,3538303,hanseniase,0.0,0.0,0.0,1.2787983686808506e-09
2001-07-01,3538303,hanseniase,0.0,0.0,0.0,1.2491529823588712e-09
2001-08-01,3538303,hanseniase,0.0,0.0,0.0,1.2560993573462928e-09
2001-09-01,3538303,hanseniase,0.0,0.0,0.0,1.2284990098176054e-09
2001-10-01,3538303,hanseniase,0.0,0.0,0.0,1.270569705389259e-09
2001-11-01,3538303,hanseniase,0.0,0.0,0.0,1.2813688903310264e-09
2001-12-01,3538303,hanseniase,0.0,0.0,0.0,1.299427101902723e-09
2002-01-01,3538303,hanseniase,0.0,0.0,0.0,1.2359646036113506e-09
2002-02-01,3538303,hanseniase,0.0,0.0,0.0,1.3476826143587437e-09
2002-03-01,3538303,hanseniase,0.0,0.0,0.0,1.2459520692087001e-09
2002-04-01,3538303,hanseniase,0.0,0.0,0.0,1.3759048201012948e-09
2002-05-01,3538303,hanseniase,0.0,0.0,0.0,1.2916806363315168e-09
2002-06-01,3538303,hanseniase,0.0,0.0,0.0,1.2184836668256792e-09
2002-07-01,3538303,hanseniase,0.0,0.0,0.0,1.3114696818127407e-09
2002-08-01,3538303,hanseniase,0.0,0.0,0.0,1.139301733241598e-09
2002-09-01,3538303,hanseniase,0.0,0.0,0.0,1.2833518430478907e-09
2002-10-01,3538303,hanseniase,0.0,0.0,0.0,1.27121687742584e-09
2002-11-01,3538303,hanseniase,0.0,0.0,0.0,1.2970412712289937e-09
2002-12-01,3538303,hanseniase,0.0,0.0,0.0,1.336479345858275e-09
2003-01-01,3538303,hanseniase,0.0,0.0,0.0,1.2999597143470974e-09
2003-02-01,3538303,hanseniase,0.0,0.0,0.0,1.2699250400925958e-09
2003-03-01,3538303,hanseniase,0.0,0.0,0.0,1.3124051813871532e-09
2003-04-01,3538303,hanseniase,0.0,0.0,0.0,1.3175706120359656e-09
2003-05-01,3538303,hanseniase,0.0,0.0,0.0,1.2364695015331863e-09
2003-06-01,3538303,hanseniase,0.0,0.0,0.0,1.3415769562943102e-09
2003-07-01,3538303,hanseniase,0.0,0.0,0.0,1.3203040356278391e-09
2003-08-01,3538303,hanseniase,0.0,0.0,0.0,1.2927784820764663e-09
2003-09-01,3538303,hanseniase,0.0,0.0,0.0,1.1860732410313724e-09
2003-10-01,3538303,hanseniase,0.0,0.0,0.0,1.268786486059352e-09
2003-11-01,3538303,hanseniase,0.0,0.0,0.0,1.2577399668431317e-09
2003-12-01,3538303,hanseniase,0.0,0.0,0.0,1.3016899035903543e-09
2004-01-01,3538303,hanseniase,0.0,0.0,0.0,1.2234262550196484e-09
2004-02-01,3538303,hanseniase,0.0,0.0,0.0,1.2780458581593504e-09
2004-03-01,3538303,hanseniase,0.0,0.0,0.0,1.2618128457670102e-09
2004-04-01,3538303,hanseniase,0.0,0.0,0.0,1.276884032897335e-09
2004-05-01,3538303,hanseniase,0.0,0.0,0.0,1.2844395246063038e-09
2004-06-01,3538303,hanseniase,0.0,0.0,0.0,1.1731337691459516e-09
2004-07-01,3538303,hanseniase,0.0,0.0,0.0,1.2716637065924252e-09
2004-08-01,3538303,hanseniase,0.0,0.0,0.0,1.1882314472093987e-09
2004-09-01,3538303,hanseniase,0.0,0.0,0.0,1.2979383102191388e-09
2004-10-01,3538303,hanseniase,0.0,0.0,0.0,1.3323087747361854e-09
2004-11-01,3538303,hanseniase,0.0,0.0,0.0,1.263847056692499e-09
2004-12-01,3538303,hanseniase,0.0,0.0,0.0,1.3665090008869942e-09
2005-01-01,3538303,hanseniase,0.0,0.0,0.0,1.2003464725198375e-09
2005-02-01,3538303,hanseniase,0.0,0.0,0.0,1.3022976699546117e-09
2005-03-01,3538303,hanseniase,0.0,0.0,0.0,1.2053802430739145e-09
2005-04-01,3538303,hanseniase,0.0,0.0,0.0,1.3036683603626666e-09
2005-05-01,3538303,hanseniase,0.0,0.0,0.0,1.269454936124108e-09
2005-06-01,3538303,hanseniase,0.0,0.0,0.0,1.2554654769737743e-09
2005-07-01,3538303,hanseniase,0.0,0.0,0.0,1.2832764614658628e-09
2005-08-01,3538303,hanseniase,0.0,0.0,0.0,1.2644202203857735e-09
2005-09-01,3538303,hanseniase,0.0,0.0,0.0,1.2893986265790784e-09
2005-10-01,3538303,hanseniase,0.0,0.0,0.0,1.2573163932817156e-09
2005-11-01,3538303,hanseniase,0.0,0.0,0.0,1.187123079144477e-09
2005-12-01,3538303,hanseniase,0.0,0.0,0.0,1.2283513111279456e-09
2006-01-01,3538303,hanseniase,0.0,0.0,0.0,1.3438784722930873e-09
2006-02-01,3538303,hanseniase,0.0,0.0,0.0,1.290192258101321e-09
2006-03-01,3538303,hanseniase,0.0,0.0,0.0,1.2994503368839438e-09
2006-04-01,3538303,hanseniase,0.0,0.0,0.0,1.2605252033986969e-09
2006-05-01,3538303,hanseniase,0.0,0.0,0.0,1.2997128459263465e-09
2006-06-01,3538303,hanseniase,0.0,0.0,0.0,1.2671195941902698e-09
2006-07-01,3538303,hanseniase,0.0,0.0,0.0,1.3581595828621967e-09
2006-08-01,3538303,hanseniase,0.0,0.0,0.0,1.234684892643162e-09
2006-09-01,3538303,hanseniase,0.0,0.0,0.0,1.2790988817673829e-09
