ds,cod_mun,disease,y_true,y_pred,yhat_lower,yhat_upper
1999-01-01,3514007,sifilis,0.0,0.0,0.0,1.7777716485974049
1999-02-01,3514007,sifilis,0.0,0.0,0.0,1.714864288570198
1999-03-01,3514007,sifilis,0.0,0.0,0.0,1.7236428979062988
1999-04-01,3514007,sifilis,0.0,0.0,0.0,1.5537258457359995
1999-05-01,3514007,sifilis,0.0,0.0,0.0,1.4024744851609574
1999-06-01,3514007,sifilis,0.0,0.0,0.0,1.5924619706283745
1999-07-01,3514007,sifilis,0.0,0.0,0.0,1.6654717670955375
1999-08-01,3514007,sifilis,0.0,0.0,0.0,1.7263688621253002
1999-09-01,3514007,sifilis,0.0,0.0,0.0,1.652546999271219
1999-10-01,3514007,sifilis,0.0,0.0,0.0,1.6886461743004166
1999-11-01,3514007,sifilis,0.0,0.0,0.0,1.6651324955077726
1999-12-01,3514007,sifilis,0.0,0.0,0.0,1.643309815797653
2000-01-01,3514007,sifilis,0.0,0.0,0.0,1.773377654843997
2000-02-01,3514007,sifilis,0.0,0.0,0.0,1.6749186349334584
2000-03-01,3514007,sifilis,0.0,0.0,0.0,1.6712932340484763
2000-04-01,3514007,sifilis,0.0,0.0,0.0,1.6598675145188413
2000-05-01,3514007,sifilis,0.0,0.0,0.0,1.4602158542366184
2000-06-01,3514007,sifilis,0.0,0.0,0.0,1.6758151235312102
2000-07-01,3514007,sifilis,0.0,0.0,0.0,1.7063291691571996
2000-08-01,3514007,sifilis,0.0,0.0,0.0,1.7349926172041676
2000-09-01,3514007,sifilis,0.0,0.0,0.0,1.5448775192298014
2000-10-01,3514007,sifilis,0.0,0.0,0.0,1.7643280440702764
2000-11-01,3514007,sifilis,0.0,0.0,0.0,1.6849338031403154
2000-12-01,3514007,sifilis,0.0,0.0,0.0,1.6763272479302875
2001-01-01,3514007,sifilis,0.0,0.0,0.0,1.718204446744158
2001-02-01,3514007,sifilis,0.0,0.0,0.0,1.6506815503876018
