disease,cod_mun,mae,rmse,r2,n_samples
hanseniase,3500105,0.2780078813698564,0.7054000834811914,0.03723276442202872,300
hanseniase,3500204,0.53599285703797,2.678821696589117,0.001072014746779093,300
hanseniase,3500303,0.2988369633784893,0.7160994212176093,0.08595197338336691,300
hanseniase,3500402,0.023812089979756215,0.11321620939891353,0.988764059851717,300
hanseniase,3500501,0.000940652442992693,0.005995282287726458,0.9996452425160505,300
hanseniase,3500550,0.11845452852796136,1.025034341060949,0.003944639954876039,300
hanseniase,3500600,0.0,0.0,1.0,300
hanseniase,3500709,0.29303473421322435,0.6712389184676923,0.14743791399582495,300
hanseniase,3500758,0.0,0.0,1.0,300
hanseniase,3500808,0.0,0.0,1.0,300
hanseniase,3500907,0.0,0.0,1.0,300
hanseniase,3501004,0.3103421500720602,0.9915618097934998,0.26056290315478925,300
hanseniase,3501103,0.0,0.0,1.0,300
hanseniase,3501152,0.20967010006345166,0.6828049513326467,0.37014939809318503,300
hanseniase,3501202,0.17498512529110527,1.4923512370822674,0.0032471836758017902,300
hanseniase,3501301,0.0007329578837844464,0.004591067688383938,0.9996492361724344,300
hanseniase,3501400,0.0,0.0,1.0,300
hanseniase,3501509,0.0051438037345056,0.04440283733206739,0.9994912142835142,300
hanseniase,3501608,0.03700940104676116,0.11400803070210483,0.31234189439575644,300
hanseniase,3501707,0.1936153483690943,0.577997309339603,0.004913045546951489,300
hanseniase,3501806,0.11156195585828606,0.9690293801157122,0.0020460410005750385,300
hanseniase,3501905,0.1584402400994169,0.3958391258394897,0.12220146628790662,300
hanseniase,3502002,0.0,0.0,1.0,300
hanseniase,3502101,0.13195859747390015,0.3754661830632124,0.29969689721968273,300
hanseniase,3502200,0.0,0.0,1.0,300
hanseniase,3502309,0.0036994961750867503,0.016100821398878067,0.9996896061925719,300
hanseniase,3502408,0.0,0.0,1.0,300
hanseniase,3502507,0.05770546279285432,0.2767234051572963,0.011379482654290451,300
hanseniase,3502606,0.32073487815656493,1.594650168463028,0.21472296661289159,300
hanseniase,3502705,0.09969057604874448,0.4008326516921329,0.36595035867154146,300
hanseniase,3502754,0.0516959053840015,0.44151402349414276,0.004252666616001433,300
hanseniase,3502804,0.09189893336692406,0.18190848872332302,0.02768606280739938,300
hanseniase,3502903,0.17509811974555656,0.6381840766345932,0.0031870320006335273,300
hanseniase,3503000,0.13980683998647375,1.1551575094168212,0.0046781982150566614,300
hanseniase,3503109,0.0,0.0,1.0,300
hanseniase,3503158,0.0,0.0,1.0,300
hanseniase,3503208,0.09843366407887631,0.1670699674807693,0.15200493744958254,300
hanseniase,3503307,0.12142106639031565,0.23549832162922849,0.0744651245922009,300
hanseniase,3503356,0.3916045783973233,3.2109437471089204,0.004530663044896577,300
hanseniase,3503406,0.17037635608845508,1.0396994698025765,0.0006244518847176028,300
hanseniase,3503505,0.0,0.0,1.0,300
hanseniase,3503604,0.1376868261562744,0.7778129134238922,0.010789598467128014,300
hanseniase,3503703,0.6197192582043385,1.8581079181894664,0.12685816532773397,300
hanseniase,3503802,0.10564943221075518,0.35105130015994945,0.049812251321062595,300
hanseniase,3503901,0.04884041028046301,0.17568223869557772,0.059271021074006947,300
hanseniase,3503950,0.0,0.0,1.0,300
hanseniase,3504008,0.049430309250842894,0.15230495814190645,0.06226484529867837,300
hanseniase,3504107,0.03843554984906225,0.12154133506090525,0.06359682426875524,300
hanseniase,3504206,0.35591836975677016,1.2070374463850784,0.19162779342346414,300
hanseniase,3504305,0.2774507000816354,1.6651148862197611,0.0007759112491542153,300
hanseniase,3504404,0.1333007267752237,0.7873562699691486,0.2619706771502267,300
hanseniase,3504503,0.023159477825567834,0.11613193818503056,6.172484733213413e-05,300
hanseniase,3504602,0.03245615663138753,0.1816779637240631,0.970898213407188,300
hanseniase,3504701,0.0,0.0,1.0,300
hanseniase,3504800,0.1391997866556125,0.7874735858357822,0.4500078798483156,300
hanseniase,3504909,0.1384227586647579,0.7005755769828077,0.2571124297806586,300
hanseniase,3505005,0.0,0.0,1.0,300
hanseniase,3505104,0.10413346564081424,0.8259352639056176,0.009891557916860916,300
hanseniase,3505203,0.06032204429682646,0.3029490273634727,0.0007176576448060246,300
hanseniase,3505302,0.14036516135854404,0.40639666114446205,0.14297986811330887,300
hanseniase,3505351,0.0,0.0,1.0,300
hanseniase,3505401,0.0029590092693682108,0.012190330518574058,0.9996971756114947,300
hanseniase,3505500,0.15277481497783865,0.2761349445815947,0.19086261892957612,300
hanseniase,3505609,0.36693594853410777,0.8270342126195227,0.25341095619425813,300
hanseniase,3505708,0.07722415464339052,0.14355073597199527,0.10541888412639266,300
hanseniase,3505807,0.39186170462115466,0.9151622997757946,0.09142304673941903,300
hanseniase,3505906,0.11855536359944828,0.33176488523886566,0.10869761048968318,300
hanseniase,3506003,0.9445984844547507,1.7370674538871922,0.9384915497617383,300
hanseniase,3506102,0.11170699215038525,0.2967128652212539,0.054428984940062985,300
hanseniase,3506201,0.5224194543572042,3.0972957683650857,0.0050901305263142405,300
hanseniase,3506300,0.9730792641569974,1.956273736271184,0.22319606649411738,300
hanseniase,3506359,0.09601865533691573,0.4108456881027541,0.0018991631498712636,300
hanseniase,3506409,0.14452360941662115,0.8219721426889268,0.3418525611529257,300
hanseniase,3506508,0.12763584595738603,0.38716543223956734,0.23782755644050313,300
hanseniase,3506607,0.022883259045340297,0.15148553124581524,0.2507006813757833,300
hanseniase,3506706,0.4276199767984857,1.5586568779607075,0.24095531618861,300
hanseniase,3506805,0.23959207015465844,1.2803934692523913,0.0026556335088160354,300
hanseniase,3506904,0.22882069315883977,1.137711089619102,0.004284609226228864,300
hanseniase,3507001,0.08803333994341228,0.2963117086184281,0.3235008321301821,300
hanseniase,3507100,0.07235398915593697,0.45579743796905664,0.0010176092421088079,300
hanseniase,3507159,0.17485204428393555,1.4917013281546996,0.002047930143640908,300
hanseniase,3507209,0.0,0.0,1.0,300
hanseniase,3507308,0.006166961397520326,0.027608983239806057,0.9995478917444488,300
hanseniase,3507407,0.048411731923691984,0.41855669887852187,0.0027325537295571634,300
hanseniase,3507456,0.47557164510730493,3.552608919088005,0.15909276955686635,300
hanseniase,3507506,0.1760653145488448,0.31415681871908857,0.08774177307214648,300
hanseniase,3507605,0.051865080320294576,0.1373494248582638,0.5601968175147413,300
hanseniase,3507704,0.0,0.0,1.0,300
hanseniase,3507753,0.08797659755825368,0.5919971824078157,0.9803132634967383,300
hanseniase,3507803,0.08536426531229652,0.42125037201766813,0.7387492350546505,300
hanseniase,3507902,0.21103093565446837,0.6815099491694625,0.17641319097823915,300
hanseniase,3508009,0.2797188908588533,0.8569782226777583,0.11281193534208667,300
hanseniase,3508108,0.1318279121123508,0.6553239720277487,0.0010253147636467563,300
hanseniase,3508207,0.6624052001936894,2.5819156281514353,0.04346470394762125,300
hanseniase,3508306,0.0,0.0,1.0,300
hanseniase,3508405,0.17670010482713885,0.44567048269618476,0.09152694547654183,300
hanseniase,3508504,0.03740992083050363,0.14639105531868887,0.11989154840747196,300
hanseniase,3508603,0.07025748314367432,0.34204429046466517,0.00766027305374517,300
hanseniase,3508702,0.4831784620393045,1.1746406732597099,0.4826580036805136,300
