ds,y_pred,yhat_lower,yhat_upper,y_true,cod_mun
1999-01-01,0.0,0.0,1.3481035911433555e-09,0.0,3515657
1999-02-01,0.0,0.0,1.2614232658880422e-09,0.0,3515657
1999-03-01,0.0,0.0,1.2771604608792404e-09,0.0,3515657
1999-04-01,0.0,0.0,1.2003378959152684e-09,0.0,3515657
1999-05-01,0.0,0.0,1.3290591422271437e-09,0.0,3515657
1999-06-01,0.0,0.0,1.4065198393941362e-09,0.0,3515657
1999-07-01,0.0,0.0,1.2702977393047412e-09,0.0,3515657
1999-08-01,0.0,0.0,1.246566645369312e-09,0.0,3515657
1999-09-01,0.0,0.0,1.2523802770720302e-09,0.0,3515657
1999-10-01,0.0,0.0,1.3344837679994246e-09,0.0,3515657
1999-11-01,0.0,0.0,1.2714494661090389e-09,0.0,3515657
1999-12-01,0.0,0.0,1.2142402999830509e-09,0.0,3515657
2000-01-01,0.0,0.0,1.3174382187471763e-09,0.0,3515657
2000-02-01,0.0,0.0,1.253111647149408e-09,0.0,3515657
2000-03-01,0.0,0.0,1.3055716277310637e-09,0.0,3515657
2000-04-01,0.0,0.0,1.2540505099364058e-09,0.0,3515657
2000-05-01,0.0,0.0,1.2884561944814039e-09,0.0,3515657
2000-06-01,0.0,0.0,1.2699960237816053e-09,0.0,3515657
2000-07-01,0.0,0.0,1.213507585490019e-09,0.0,3515657
2000-08-01,0.0,0.0,1.3785129383650822e-09,0.0,3515657
2000-09-01,0.0,0.0,1.3177910730951207e-09,0.0,3515657
2000-10-01,0.0,0.0,1.2132520720496787e-09,0.0,3515657
2000-11-01,0.0,0.0,1.320713309420203e-09,0.0,3515657
2000-12-01,0.0,0.0,1.3355517529866356e-09,0.0,3515657
2001-01-01,0.0,0.0,1.3245325805630398e-09,0.0,3515657
2001-02-01,0.0,0.0,1.302571381480209e-09,0.0,3515657
2001-03-01,0.0,0.0,1.24131557806924e-09,0.0,3515657
2001-04-01,0.0,0.0,1.214369965406141e-09,0.0,3515657
2001-05-01,0.0,0.0,1.2603736400391192e-09,0.0,3515657
2001-06-01,0.0,0.0,1.3063202923450053e-09,0.0,3515657
2001-07-01,0.0,0.0,1.341838855878969e-09,0.0,3515657
2001-08-01,0.0,0.0,1.2110262686371633e-09,0.0,3515657
2001-09-01,0.0,0.0,1.275015126169554e-09,0.0,3515657
2001-10-01,0.0,0.0,1.2899396765332087e-09,0.0,3515657
2001-11-01,0.0,0.0,1.283567015563461e-09,0.0,3515657
2001-12-01,0.0,0.0,1.3156499670268934e-09,0.0,3515657
2002-01-01,0.0,0.0,1.3245275364099236e-09,0.0,3515657
2002-02-01,0.0,0.0,1.2617988205170878e-09,0.0,3515657
2002-03-01,0.0,0.0,1.2813642287475702e-09,0.0,3515657
2002-04-01,0.0,0.0,1.2373444891618792e-09,0.0,3515657
2002-05-01,0.0,0.0,1.2897936850284233e-09,0.0,3515657
2002-06-01,0.0,0.0,1.242512147271438e-09,0.0,3515657
2002-07-01,0.0,0.0,1.240836174972415e-09,0.0,3515657
2002-08-01,0.0,0.0,1.2974352925348639e-09,0.0,3515657
2002-09-01,0.0,0.0,1.2681860011150257e-09,0.0,3515657
2002-10-01,0.0,0.0,1.2803896040321635e-09,0.0,3515657
2002-11-01,0.0,0.0,1.4181982906793373e-09,0.0,3515657
2002-12-01,0.0,0.0,1.2983449485729507e-09,0.0,3515657
2003-01-01,0.0,0.0,1.2971211208646368e-09,0.0,3515657
2003-02-01,0.0,0.0,1.2375645586282705e-09,0.0,3515657
2003-03-01,0.0,0.0,1.2852091095990903e-09,0.0,3515657
2003-04-01,0.0,0.0,1.2178938724744178e-09,0.0,3515657
2003-05-01,0.0,0.0,1.1944989352296095e-09,0.0,3515657
2003-06-01,0.0,0.0,1.2896538129831663e-09,0.0,3515657
2003-07-01,0.0,0.0,1.2816388563176926e-09,0.0,3515657
2003-08-01,0.0,0.0,1.4211806433588248e-09,0.0,3515657
2003-09-01,0.0,0.0,1.4199823823149557e-09,0.0,3515657
2003-10-01,0.0,0.0,1.3147017202676546e-09,0.0,3515657
2003-11-01,0.0,0.0,1.2620295126714982e-09,0.0,3515657
2003-12-01,0.0,0.0,1.2629389622704378e-09,0.0,3515657
2004-01-01,0.0,0.0,1.285443585299941e-09,0.0,3515657
2004-02-01,0.0,0.0,1.3524451173087108e-09,0.0,3515657
2004-03-01,0.0,0.0,1.2436801406941588e-09,0.0,3515657
2004-04-01,0.0,0.0,1.2751026667262625e-09,0.0,3515657
2004-05-01,0.0,0.0,1.3227199336298e-09,0.0,3515657
2004-06-01,0.0,0.0,1.265562836795556e-09,0.0,3515657
