disease,cod_mun,mae,rmse,r2,n_train,n_test
TX_hanseniase_00_23,3500105,0.6120046191669627,0.7887730404245237,0.03859938970121324,251,12
TX_hanseniase_00_23,3500204,0.2864938589433829,0.33834973791865003,0.0,251,12
TX_hanseniase_00_23,3500303,0.02442292625588986,0.039878997771612856,0.0,251,12
TX_hanseniase_00_23,3500402,0.048714084240297474,0.04871436161182462,0.0,251,12
TX_hanseniase_00_23,3500501,0.000807617502384043,0.0008347956901622629,0.0,251,12
TX_hanseniase_00_23,3500550,0.001342324772849679,0.0025797459587429106,0.0,251,12
TX_hanseniase_00_23,3500600,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3500709,0.18043767288327217,0.18069688907352366,0.0,251,12
TX_hanseniase_00_23,3500758,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3500808,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3500907,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3501004,0.5100751519203186,0.5100751519203186,0.0,251,12
TX_hanseniase_00_23,3501103,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3501152,0.008243922532225648,0.008498672754322992,0.0,251,12
TX_hanseniase_00_23,3501202,0.010014437682305774,0.011254583384035035,0.0,251,12
TX_hanseniase_00_23,3501301,0.001510713656898588,0.0015364082339128543,0.0,251,12
TX_hanseniase_00_23,3501400,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3501509,0.11134328537931044,0.2710922376907297,0.0,251,12
TX_hanseniase_00_23,3501608,0.02364574931561947,0.02364574931561947,0.0,251,12
TX_hanseniase_00_23,3501707,0.12006432376801968,0.1268564748508258,0.0,251,12
TX_hanseniase_00_23,3501806,0.7531907954835333,2.5969985162488536,0.0,251,12
TX_hanseniase_00_23,3501905,0.12665067675213018,0.12791340437540288,0.0,251,12
TX_hanseniase_00_23,3502002,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3502101,0.17690129335118696,0.4956472969638746,-0.13716512122442648,251,12
TX_hanseniase_00_23,3502200,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3502309,0.000941718477406539,0.000941962809868042,0.0,251,12
TX_hanseniase_00_23,3502408,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3502507,0.0011412414411703746,0.0011422771332450052,0.0,251,12
TX_hanseniase_00_23,3502606,0.04104448605600434,0.12167539483204778,0.0,251,12
TX_hanseniase_00_23,3502705,0.06380380628009637,0.06380386753721569,0.0,251,12
TX_hanseniase_00_23,3502754,0.0025049310279428028,0.006601447882090663,0.0,251,12
TX_hanseniase_00_23,3502804,0.13008900545537472,0.13040705419660523,0.0,251,12
TX_hanseniase_00_23,3502903,0.06161301272610823,0.06619588733614427,0.0,251,12
TX_hanseniase_00_23,3503000,0.06885667331516743,0.0688566860729903,0.0,251,12
TX_hanseniase_00_23,3503109,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3503158,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3503208,0.04876203959186872,0.049442197706616904,0.0,251,12
TX_hanseniase_00_23,3503307,0.07386465246478717,0.0745813387111959,0.0,251,12
TX_hanseniase_00_23,3503356,0.1335355043411255,0.1335355043411255,0.0,251,12
TX_hanseniase_00_23,3503406,0.06426108504335086,0.06426143519600483,0.0,251,12
TX_hanseniase_00_23,3503505,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3503604,0.11795503632553543,0.29766759887378036,0.0,251,12
TX_hanseniase_00_23,3503703,0.36154042184352875,0.3919633501680285,0.0,251,12
TX_hanseniase_00_23,3503802,0.3312857504105812,1.0331796890687273,-0.0703558096862642,251,12
TX_hanseniase_00_23,3503901,0.0010207673476543278,0.00113108876197972,0.0,251,12
TX_hanseniase_00_23,3503950,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3504008,0.017895567124166217,0.050447359749985106,0.0,251,12
TX_hanseniase_00_23,3504107,0.02397159766405821,0.02397649553435599,0.0,251,12
TX_hanseniase_00_23,3504206,0.08934256993234158,0.09338371186909941,0.0,251,12
TX_hanseniase_00_23,3504305,0.18515792985757193,0.4046256357645884,0.0,251,12
TX_hanseniase_00_23,3504404,0.07700182497501373,0.07700182497501373,0.0,251,12
TX_hanseniase_00_23,3504503,0.0008288243576923074,0.0008809033493606361,0.0,251,12
TX_hanseniase_00_23,3504602,0.00810730695836052,0.025277005631415682,0.0,251,12
TX_hanseniase_00_23,3504701,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3504800,0.01817064544108386,0.0264072349635242,0.0,251,12
TX_hanseniase_00_23,3504909,0.31393899307780276,1.0179940126287057,0.0,251,12
TX_hanseniase_00_23,3505005,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3505104,0.04233376491993113,0.13739095805708018,0.0,251,12
TX_hanseniase_00_23,3505203,0.011808160847673813,0.011808194435690294,0.0,251,12
TX_hanseniase_00_23,3505302,0.08658691930274169,0.08658892404715796,0.0,251,12
TX_hanseniase_00_23,3505351,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3505401,1.3050978135235405e-07,1.5623035393917115e-07,0.0,251,12
TX_hanseniase_00_23,3505500,0.07254253389934699,0.07255736979044651,0.0,251,12
TX_hanseniase_00_23,3505609,0.5832575276770187,1.1995074279935418,-0.0918656271309699,251,12
TX_hanseniase_00_23,3505708,0.08294161968901254,0.11136490988641728,-0.048182517161985405,251,12
TX_hanseniase_00_23,3505807,0.5588781311410861,1.2973061340503664,-0.019947508209286147,251,12
TX_hanseniase_00_23,3505906,0.08214800929029782,0.0896134124972539,0.0,251,12
TX_hanseniase_00_23,3506003,0.16117750095582428,0.1815559208979266,-0.2805398400689114,251,12
TX_hanseniase_00_23,3506102,0.06230574815223614,0.06446301457752335,0.0,251,12
TX_hanseniase_00_23,3506201,0.008194852775583664,0.014627390783820523,0.0,251,12
TX_hanseniase_00_23,3506300,0.057523137579361595,0.05785136171357107,0.0,251,12
TX_hanseniase_00_23,3506359,0.04983800556510687,0.04983804730663348,0.0,251,12
TX_hanseniase_00_23,3506409,0.05955710634589195,0.05955710634589195,0.0,251,12
TX_hanseniase_00_23,3506508,0.8690823337085382,1.3275400355584592,-0.48147084746687097,251,12
TX_hanseniase_00_23,3506607,0.007261667400598526,0.007261667400598526,0.0,251,12
TX_hanseniase_00_23,3506706,0.34719374775886536,0.34719374775886536,0.0,251,12
TX_hanseniase_00_23,3506805,0.1340250742311279,0.32661544737223625,0.0,251,12
TX_hanseniase_00_23,3506904,0.1620561615563929,0.4787416226396493,0.0,251,12
TX_hanseniase_00_23,3507001,0.0010775189245274912,0.0017647660732534483,0.0,251,12
TX_hanseniase_00_23,3507100,0.030520718544721603,0.030520718544721603,0.0,251,12
TX_hanseniase_00_23,3507159,0.5939565987015764,1.4096360171701765,0.0,251,12
TX_hanseniase_00_23,3507209,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3507308,0.03410179167985916,0.03410258409962199,0.0,251,12
TX_hanseniase_00_23,3507407,0.024873202356199425,0.024873225253929845,0.0,251,12
TX_hanseniase_00_23,3507456,0.34111565351486206,0.34111565351486206,0.0,251,12
TX_hanseniase_00_23,3507506,0.027038076523846637,0.043538510641746554,0.0,251,12
TX_hanseniase_00_23,3507605,0.02203068711484472,0.022564833684615128,0.0,251,12
TX_hanseniase_00_23,3507704,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3507753,0.01804659793075795,0.04903987937081015,0.0,251,12
TX_hanseniase_00_23,3507803,0.006562201412937914,0.012304410780186972,0.0,251,12
TX_hanseniase_00_23,3507902,0.0015404673370843132,0.0016077653181876528,0.0,251,12
TX_hanseniase_00_23,3508009,0.21072607735792795,0.22013544954613065,0.0,251,12
TX_hanseniase_00_23,3508108,0.052825188574691616,0.05282524886863935,0.0,251,12
TX_hanseniase_00_23,3508207,2.175617279431291,6.7172603434085545,-0.06842719531580732,251,12
TX_hanseniase_00_23,3508306,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3508405,0.03616078058257699,0.054090265351439515,0.0,251,12
TX_hanseniase_00_23,3508504,0.010471156022200981,0.010479190136360995,0.0,251,12
TX_hanseniase_00_23,3508603,0.01913034846074879,0.022001795233742842,0.0,251,12
TX_hanseniase_00_23,3508702,0.22696083784103394,0.22698670474850133,0.0,251,12
TX_hanseniase_00_23,3508801,0.06072775864352783,0.09140788970751122,0.0,251,12
TX_hanseniase_00_23,3508900,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3509007,0.11154144359097647,0.2860858866011024,-0.04163725313632072,251,12
TX_hanseniase_00_23,3509106,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3509205,0.003479621334311863,0.0035848155361197483,0.0,251,12
TX_hanseniase_00_23,3509254,0.011368944139879508,0.02614823480390305,0.0,251,12
TX_hanseniase_00_23,3509304,0.07541702563563983,0.07541703348929456,0.0,251,12
TX_hanseniase_00_23,3509403,0.22052320465445518,0.2205273027976744,0.0,251,12
TX_hanseniase_00_23,3509452,0.11996368825202808,0.23341552298626358,0.0,251,12
TX_hanseniase_00_23,3509502,0.03834191622054123,0.05257265154822651,0.07618434705843657,251,12
TX_hanseniase_00_23,3509601,0.07370715588331223,0.0738586490398737,0.0,251,12
TX_hanseniase_00_23,3509700,0.2020418920393616,0.6332180593341774,-0.07130015510471321,251,12
TX_hanseniase_00_23,3509809,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3509908,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3509957,0.011651942040771246,0.012788333009461894,0.0,251,12
TX_hanseniase_00_23,3510005,0.001943736167352957,0.0020527591611061253,0.0,251,12
TX_hanseniase_00_23,3510104,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3510153,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3510203,0.10659231431782246,0.10659251188738132,0.0,251,12
TX_hanseniase_00_23,3510302,0.2538595814245734,0.862403058310978,0.0,251,12
TX_hanseniase_00_23,3510401,0.005278661847114563,0.006872188077205313,0.0,251,12
TX_hanseniase_00_23,3510500,0.040105396416038275,0.05272050033266579,0.0,251,12
TX_hanseniase_00_23,3510609,0.04332386420652229,0.07199978915801973,-0.11984263514458626,251,12
TX_hanseniase_00_23,3510708,0.38759615023930866,0.4285963295247588,0.0,251,12
TX_hanseniase_00_23,3510807,0.0741905930141608,0.07419082858835963,0.0,251,12
TX_hanseniase_00_23,3510906,0.027287692258444924,0.028055153164345245,0.0,251,12
TX_hanseniase_00_23,3511003,0.3643805409471194,0.36438210659982806,0.0,251,12
TX_hanseniase_00_23,3511102,0.00683769289268336,0.011000357056287503,0.0,251,12
TX_hanseniase_00_23,3511201,0.09092141602498789,0.1934504239813368,0.0,251,12
TX_hanseniase_00_23,3511300,0.770135391253699,2.3981149086845712,-0.07005972900177815,251,12
TX_hanseniase_00_23,3511409,0.6795683219954741,1.3631377662127597,-0.11814691388636245,251,12
TX_hanseniase_00_23,3511508,0.027500842077036698,0.02750084844386645,0.0,251,12
TX_hanseniase_00_23,3511607,0.0029404562131579346,0.006613583015945825,0.0,251,12
TX_hanseniase_00_23,3511706,5.898062045162078e-05,0.00010250692174135942,0.0,251,12
TX_hanseniase_00_23,3511904,0.01745475611339013,0.022322978373761508,0.0,251,12
TX_hanseniase_00_23,3512001,0.084308922290802,0.084308922290802,0.0,251,12
TX_hanseniase_00_23,3512100,0.11567573994398117,0.11567573994398117,0.0,251,12
TX_hanseniase_00_23,3512209,0.04428162006661296,0.07002847924562287,0.0,251,12
TX_hanseniase_00_23,3512308,0.053992073672513165,0.06709118058050721,0.0,251,12
TX_hanseniase_00_23,3512407,0.010466120157313222,0.03004377301360167,0.0,251,12
TX_hanseniase_00_23,3512506,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3512605,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3512704,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3512803,0.000590955494165731,0.0006235575487661429,0.0,251,12
TX_hanseniase_00_23,3512902,2.1142553743831494,4.207266763588812,-0.10585532604303172,251,12
TX_hanseniase_00_23,3513009,0.02262090953687827,0.027187610868159465,0.0,251,12
TX_hanseniase_00_23,3513108,0.15674188981453577,0.15674195238196215,0.0,251,12
TX_hanseniase_00_23,3513207,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3513306,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3513405,0.037995367383700795,0.06058850925116519,0.0,251,12
TX_hanseniase_00_23,3513504,0.20878755948253336,0.4299024433244471,-0.0010031981687015357,251,12
TX_hanseniase_00_23,3513603,0.011851912218844518,0.014172082134368337,0.0,251,12
TX_hanseniase_00_23,3513702,0.04970667511224747,0.04970667511224747,0.0,251,12
TX_hanseniase_00_23,3513801,0.07685366912554974,0.11324092957091422,-0.5124718854070474,251,12
TX_hanseniase_00_23,3513850,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3513900,0.3628379702568054,0.3628379702568054,0.0,251,12
TX_hanseniase_00_23,3514007,0.007863114869299656,0.016484692412466955,0.0,251,12
TX_hanseniase_00_23,3514106,0.057115831722815834,0.05711585921495809,0.0,251,12
TX_hanseniase_00_23,3514205,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3514304,0.1723906546831131,0.1723906546831131,0.0,251,12
TX_hanseniase_00_23,3514403,0.00909736532291087,0.01449097511488125,0.0,251,12
TX_hanseniase_00_23,3514502,0.06058787927031517,0.06058787927031517,0.0,251,12
TX_hanseniase_00_23,3514601,0.14203029622634253,0.14225798988911187,0.0,251,12
TX_hanseniase_00_23,3514700,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3514809,0.002463896351400763,0.005010299813589782,0.0,251,12
TX_hanseniase_00_23,3514908,0.07220169575884938,0.23340663145095417,0.0,251,12
TX_hanseniase_00_23,3514924,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3514957,0.009216009008620555,0.009998086632607815,0.0,251,12
TX_hanseniase_00_23,3515004,0.054856749330366245,0.09197935600258161,0.14868455484510557,251,12
TX_hanseniase_00_23,3515103,0.05333250264326731,0.05333250536746927,0.0,251,12
TX_hanseniase_00_23,3515129,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3515152,0.42429750957980766,1.4313882475287416,-0.08566911291600632,251,12
TX_hanseniase_00_23,3515186,0.004416670184582472,0.004416673972087765,0.0,251,12
TX_hanseniase_00_23,3515194,0.08538145385682583,0.27055983953391743,0.0,251,12
TX_hanseniase_00_23,3515202,0.40445956587791443,0.40445956587791443,0.0,251,12
TX_hanseniase_00_23,3515301,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3515350,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3515400,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3515509,0.28258338432369806,0.41394614040166205,-0.15723309308344002,251,12
TX_hanseniase_00_23,3515608,0.002537746653009284,0.008463439821101693,0.0,251,12
TX_hanseniase_00_23,3515657,0.4121017927924792,0.41210283488146937,0.0,251,12
TX_hanseniase_00_23,3515707,0.023286555117617052,0.023381658168485708,0.0,251,12
TX_hanseniase_00_23,3515806,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3515905,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3516002,0.6468304328349898,2.2193401945977373,-0.09120259931702024,251,12
TX_hanseniase_00_23,3516101,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3516200,0.06417170744785097,0.07665745005870436,-0.05528291954568054,251,12
TX_hanseniase_00_23,3516309,0.03404749743640423,0.03407619026977784,0.0,251,12
TX_hanseniase_00_23,3516408,0.07702729850809743,0.1752525342724373,-0.02116334061736702,251,12
TX_hanseniase_00_23,3516507,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3516606,0.011541130351057896,0.012184211565463551,0.0,251,12
TX_hanseniase_00_23,3516705,0.0606288630515337,0.06684365496035378,0.0,251,12
TX_hanseniase_00_23,3516804,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3516853,0.854394121405979,2.8925142910689954,0.0,251,12
TX_hanseniase_00_23,3516903,0.03327200619969517,0.09939422555511838,0.0,251,12
